TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
210,180,85.7142,178,84.7619,2,68908,39359,57.1181

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,PHG,UNE,PPN,AZUL,VOS,UR,CABAL,CAMBIO,U R N G - MAIZ,TODOS,FCN-NACION,VICTORIA,P A N,CREO,VIVA,UNIONISTA,ELEFANTE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
2450,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2451,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2452,"Guatemala",1,"Chinautla",6,215,400,22,22,97,30,0,0,14,3,4,2,9,3,0,6,0,3,4,4,6,6,235,11,0,246,0,246,--,400,154,235,246,246,Algún campo sin dato,1,7eaeea3f90473a8cc7e9717ca95f942d691e4eefae575d5c559523ee3fcdf558,26/06/2023 03:00:41,ESCANER
2453,"Guatemala",1,"Chinautla",6,215,400,36,17,83,34,1,1,10,0,1,3,9,6,1,6,3,6,4,0,3,5,229,17,2,248,0,248,--,401,153,229,248,248,Algún campo sin dato,1,284365df262641a29a2671079a2e42c7c7916bb00030c76a8d86a09333ed3ad0,26/06/2023 03:07:59,ESCANER
2454,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2455,"Guatemala",1,"Chinautla",6,215,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2456,"Guatemala",1,"Chinautla",6,215,400,23,18,64,39,0,0,8,2,2,1,10,3,0,11,2,3,10,1,2,5,204,13,0,217,0,217,--,400,183,204,217,217,Algún campo sin dato,1,f3671479715cf3d1727edab7bb6a204029b0047e7dca96e6abe4d5ebc171868b,26/06/2023 03:09:33,ESCANER
2457,"Guatemala",1,"Chinautla",6,215,400,23,16,78,47,0,1,16,1,1,3,7,3,1,5,2,4,3,2,6,7,226,11,2,239,0,239,--,400,161,226,239,239,Algún campo sin dato,1,0c5e2a3e3d9e00dc06cfedb6ea6e2cfacae3273d9c6a8f705faf0e7a05ea221b,26/06/2023 03:12:09,ESCANER
2458,"Guatemala",1,"Chinautla",6,215,400,16,26,78,25,1,0,7,1,2,2,2,6,0,5,2,1,0,4,4,7,189,11,0,200,0,200,--,397,197,189,200,200,Algún campo sin dato,1,7db147339f419dba2310533f27827216fa274de3b09dec9e08c7b3bfeb69c0ee,26/06/2023 05:12:51,ESCANER
2459,"Guatemala",1,"Chinautla",6,215,400,23,28,61,35,2,1,16,0,3,0,4,2,2,8,2,1,2,2,2,4,198,9,2,209,0,209,2,400,191,198,209,209,,1,367c8eebb03abd933117c546fc9afb43f02fdfa4bcbfb08107c73d72894d6a1e,25/06/2023 22:20:21,ESCANER
