TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,17952,11865,66.0929

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,VICTORIA,VAMOS,UNE,PIN,VIVA,PPN,CREO,UR,TODOS,CABAL,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11363,"Quetzaltenango",9,"El Palmar",19,1525,380,1,96,89,16,0,3,17,1,4,0,1,0,66,294,11,5,310,0,310,--,380,70,294,310,310,Algún campo sin dato,1,9dffe39a58417adb65d17fb4c7cf6ae8a24a1e6e6b375b97790a437017851ea3,26/06/2023 02:57:23,ESCANER
11364,"Quetzaltenango",9,"El Palmar",19,1525,380,5,91,74,18,0,4,16,5,2,0,0,1,57,273,18,5,296,0,296,--,380,84,273,296,296,Algún campo sin dato,1,ef3e82020e08c4de09c5d7018e03aafb9c5cc7119f71dbbed88663b0d271d6d4,26/06/2023 01:31:15,ESCANER
11365,"Quetzaltenango",9,"El Palmar",19,1525,380,1,77,69,14,0,5,22,2,5,1,1,0,71,268,16,5,289,0,289,--,380,91,268,289,289,Algún campo sin dato,1,2a1c0a90fac41328c0a6c408135ccbd48fc0d794f14b3909d48bc482ca474006,26/06/2023 02:14:13,ESCANER
11366,"Quetzaltenango",9,"El Palmar",19,1525,380,3,95,64,11,0,2,18,1,2,0,1,0,62,259,10,3,272,0,272,--,380,108,259,272,272,Algún campo sin dato,1,67617c44230251c62f21d85afb3e3d399082b9ece88e18b2292d7829f13c2fbe,25/06/2023 23:27:25,ESCANER
11367,"Quetzaltenango",9,"El Palmar",19,1525,380,3,87,69,12,0,3,13,5,0,0,1,1,62,256,6,8,270,0,270,--,377,107,256,270,270,Algún campo sin dato,1,2111b892368e3a3bf8365d630138010462d12fb9ccd7425cd95aff3205d37963,26/06/2023 00:41:43,ESCANER
11368,"Quetzaltenango",9,"El Palmar",19,1525,380,3,76,83,11,0,2,12,5,3,2,2,0,69,268,14,8,290,0,290,--,380,90,268,290,290,Algún campo sin dato,1,0ceff6295922c6505ac4ab2b5b4aa641d66598cd86ccce976966f6a21b6058c4,26/06/2023 00:18:04,ESCANER
11369,"Quetzaltenango",9,"El Palmar",19,1525,380,1,90,85,11,--,1,14,2,--,--,1,--,62,267,4,2,273,--,273,--,380,107,267,273,273,Algún campo sin dato,1,cc9b5c8a042cd861579c472f931ba202559e2b34388c6a4661dba2d491b782f5,26/06/2023 02:39:06,ESCANER
11370,"Quetzaltenango",9,"El Palmar",19,1525,352,2,90,55,11,0,1,14,3,5,0,0,0,57,238,3,1,242,0,242,--,352,110,238,242,242,Algún campo sin dato,1,274fc6d755bd9ccc7fa956c075f3fb18d2b3671745c9f384575b6aebaab86a4f,26/06/2023 00:08:58,ESCANER
11371,"Quetzaltenango",9,"El Palmar",19,1525,351,2,79,69,3,--,--,10,3,2,--,1,--,63,232,3,--,235,--,235,--,351,116,232,235,235,Algún campo sin dato,1,b589b923c0ab81688fff6d269011b2b9c27becf3dc45df220c3c9d6d117a17ec,25/06/2023 23:33:30,ESCANER
11372,"Quetzaltenango",9,"El Palmar",19,1526,380,7,95,60,6,3,10,8,1,0,1,1,0,39,231,12,6,249,0,249,1,380,130,231,249,249,,1,f85110a8636c3f7566219091f19dad9e97e7ce8c4e95cb07317f26629d362f0e,26/06/2023 04:49:24,ESCANER
11373,"Quetzaltenango",9,"El Palmar",19,1526,380,4,107,57,17,3,2,7,2,1,0,1,0,29,230,22,6,258,0,258,--,380,122,230,258,258,Algún campo sin dato,1,fd3efeb570eee80eb04e8f91d8f9f1261fb9da399bf7bbebe52c648c4bbe4235,26/06/2023 02:20:10,ESCANER
11374,"Quetzaltenango",9,"El Palmar",19,1526,380,2,118,35,15,7,1,8,5,1,1,--,--,51,244,15,5,264,--,264,--,380,114,244,264,264,Algún campo sin dato,1,a49cfb9adbc2011913e741bf604bb3284b04315242514361e7a3dbf436da2282,26/06/2023 04:52:06,ESCANER
11375,"Quetzaltenango",9,"El Palmar",19,1526,380,2,112,28,24,1,3,7,9,0,2,0,0,37,225,27,10,262,0,262,--,380,118,225,262,262,Algún campo sin dato,1,7bd51d23799af2be65ad25296d7a6b7bf40c785aa18b7da89873c927153888c2,26/06/2023 02:05:48,ESCANER
11376,"Quetzaltenango",9,"El Palmar",19,1526,380,1,100,48,11,4,4,7,2,0,0,0,0,24,201,9,10,220,0,220,--,380,160,201,220,220,Algún campo sin dato,1,e85567273b6ba0ddda9d20bd6fde7378cd9dd2e72b0c17c7f3dc423fdde8ecbb,26/06/2023 00:30:20,ESCANER
11377,"Quetzaltenango",9,"El Palmar",19,1526,380,6,114,52,5,6,2,4,0,0,0,1,0,27,217,12,5,234,0,234,--,380,146,217,234,234,Algún campo sin dato,1,2223cf98b3e956011a994bf940ac549fed5a4967312ce3d00b5b531c68f73944,26/06/2023 01:47:20,ESCANER
11378,"Quetzaltenango",9,"El Palmar",19,1526,380,7,113,44,9,2,3,6,0,0,0,0,0,34,218,7,3,228,0,228,--,380,152,218,228,228,Algún campo sin dato,1,4a7851a476e7b5752edc2b9e9f9b412ad58fdf4e2234764aadac86268a77c19d,26/06/2023 01:12:33,ESCANER
11379,"Quetzaltenango",9,"El Palmar",19,1526,380,4,110,52,5,0,2,3,1,0,0,1,0,25,203,10,5,218,1,219,--,380,162,203,218,219,Algún campo sin dato,1,53f5225800f1b698879f2614e0565f888921e64743db6921ae7b1d1beb080b7d,26/06/2023 01:36:50,ESCANER
11380,"Quetzaltenango",9,"El Palmar",19,1526,380,5,107,32,4,10,2,5,3,--,--,--,--,44,212,5,1,218,--,218,--,380,162,212,218,218,Algún campo sin dato,1,b6653e5d81b8757d3b98234106ba1385a940a73de315313c7ab4110ae9bf6b7d,26/06/2023 02:14:48,ESCANER
11381,"Quetzaltenango",9,"El Palmar",19,1526,216,2,68,25,5,3,0,4,0,0,0,0,0,18,125,1,0,126,0,126,--,216,90,125,126,126,Algún campo sin dato,1,a70532e8f2bc3f7ef51c0cca2ae80860b229d2022721c032eb95fe0ee9d4455a,26/06/2023 01:20:47,ESCANER
11382,"Quetzaltenango",9,"El Palmar",19,1526,216,2,39,25,3,3,1,1,3,0,0,0,0,16,93,4,4,101,0,101,--,216,115,93,101,101,Algún campo sin dato,1,928f8e49c89c579e3163d3149ee35a611295816b1474b9a89afa3e40615e510e,26/06/2023 00:01:31,ESCANER
11383,"Quetzaltenango",9,"El Palmar",19,1527,405,1,44,24,5,1,1,6,1,0,1,0,0,21,105,4,2,111,0,111,--,405,294,105,111,111,Algún campo sin dato,1,a4d738659fb3b437e87de853f12ebeac80b5bcb7461aa7ad94d6622c6362f374,25/06/2023 23:21:15,ESCANER
11384,"Quetzaltenango",9,"El Palmar",19,1527,405,0,24,25,3,1,1,2,2,0,0,1,0,8,67,3,2,72,0,72,--,405,333,67,72,72,Algún campo sin dato,1,88cb7a903460df03f688334146bc5873f039e666256ec314a67e7d1b522eb243,25/06/2023 23:47:30,ESCANER
