TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
86,86,100.0000,86,100.0000,0,31570,17878,56.6297

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,WINAQ,PHG,UNE,SEMILLA,U R N G - MAIZ,CABAL,MLP,VAMOS,VICTORIA,TODOS,PODEMOS,CREO,ELEFANTE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
13398,"San Marcos",12,"Comitancillo",4,1838,380,0,15,76,82,0,1,15,0,64,0,1,0,0,0,0,254,6,11,271,0,271,0,380,109,254,271,271,,1,014416e035a12423f44497206ecc2412af9da89f3bc3a48d9526cc432f5607dd,25/06/2023 22:41:52,ESCANER
13399,"San Marcos",12,"Comitancillo",4,1838,380,0,7,73,79,2,2,13,0,45,1,1,0,0,0,0,223,10,11,244,0,223,--,380,136,223,244,244,Sumas Asentadas sin cuadrar,1,95c6f4bebac3bc2e6ab6e7659fcae87548f5ee64ab1f35bb1cc94b964b3568f4,26/06/2023 05:45:08,ESCANER
13400,"San Marcos",12,"Comitancillo",4,1838,380,1,12,76,69,2,1,20,0,49,0,1,0,0,0,0,231,18,5,254,0,254,0,380,126,231,254,254,,1,184e446f41eb01411b51cd214bbeca9b6de606976fa7b05ec005ec901e2a9a04,25/06/2023 23:46:50,ESCANER
13401,"San Marcos",12,"Comitancillo",4,1838,380,1,4,63,62,2,0,19,1,40,1,2,0,0,0,0,195,7,4,206,0,206,0,380,174,195,206,206,,1,144abe9a7167db83728af6c381883a026d299ff4cf68948ef67f140f40d615d8,26/06/2023 00:16:31,ESCANER
13402,"San Marcos",12,"Comitancillo",4,1839,380,3,5,78,49,3,0,10,0,46,0,6,0,0,0,0,200,2,1,203,0,203,0,380,177,200,203,203,,1,46aa7e2bde59c5560b2a0213ade08a43d507e0587d333b355d3cdfe7fc768577,25/06/2023 23:10:08,ESCANER
13403,"San Marcos",12,"Comitancillo",4,1839,200,0,1,36,37,0,0,4,1,22,1,1,0,0,0,0,103,4,3,110,0,110,0,200,90,103,110,110,,1,c4e6857e88fb1d47645faae44c4146c4c28364ae7abfbb02412834fa285a220c,25/06/2023 23:31:04,ESCANER
13404,"San Marcos",12,"Comitancillo",4,1839,200,0,4,29,24,0,0,7,0,28,0,1,0,0,0,0,93,3,2,98,0,98,0,196,98,93,98,98,,1,5dfa4d3f5faa689a735b7d85d4b96638ffdb55765e707a22bbae534b9d159dc1,25/06/2023 22:01:31,ESCANER
13405,"San Marcos",12,"Comitancillo",4,1840,380,1,6,49,35,3,2,19,0,44,0,1,0,0,0,0,160,26,7,193,0,193,0,380,187,160,193,193,,1,7c9d5333c17d760c89ca743bb2cbb549aa3ba4e02ef81cbf2d037edcf0cb9c08,26/06/2023 01:32:09,ESCANER
13406,"San Marcos",12,"Comitancillo",4,1840,380,1,9,49,52,7,6,13,2,35,2,0,1,0,0,0,177,34,8,219,0,219,0,380,161,177,219,219,,1,ee6bd84627bc1af0499cb0b1b0baa5d9c49074c464a7b219728e1938e8a91f9e,26/06/2023 06:54:27,ESCANER
13407,"San Marcos",12,"Comitancillo",4,1840,380,2,6,47,32,8,3,17,0,35,0,0,0,0,1,0,151,29,15,195,0,195,--,380,185,151,195,195,Algún campo sin dato,1,845cef8bda2e914157fb92e4532ea2d111849b13de995adac71589249a73b3f7,26/06/2023 03:05:23,ESCANER
13408,"San Marcos",12,"Comitancillo",4,1841,342,1,5,40,27,1,4,15,0,19,0,0,0,0,0,0,112,16,8,136,0,136,0,342,206,112,136,136,,1,0952e30a6bc234e8769a181417ef5913c414531e0fe8cf0d0f41a0002761d433,26/06/2023 01:46:07,ESCANER
13409,"San Marcos",12,"Comitancillo",4,1841,341,0,5,37,21,4,0,14,0,21,0,0,0,0,0,0,102,8,9,119,0,119,0,341,222,102,119,119,,1,fffbf9ce9e8ba8c92327d558b575b901bb8f7d4b6b53c70bc574e8af535ae225,26/06/2023 00:47:34,ESCANER
13410,"San Marcos",12,"Comitancillo",4,1842,380,0,21,104,30,2,2,22,0,33,0,0,0,0,0,0,214,20,7,241,0,241,0,377,136,214,241,241,,1,95ddedef040c909dad468709da048d64d7b5c3a5c705ee6618dd4579ea315ea7,26/06/2023 00:42:21,ESCANER
13411,"San Marcos",12,"Comitancillo",4,1842,380,2,17,116,25,2,2,21,0,27,1,0,0,0,0,0,213,17,14,244,0,244,0,380,136,213,244,244,,1,d6d61aaf0c834a70fc1e2a01fbdbbe0ea0610364a364eb0fa8ba1fd211a261b9,26/06/2023 02:18:53,ESCANER
13412,"San Marcos",12,"Comitancillo",4,1842,380,3,18,108,27,0,1,23,1,37,1,0,0,1,0,1,221,23,11,255,0,255,--,380,125,221,255,255,Algún campo sin dato,1,1d280432d4536a5f24c4af126c59cab2e6ef10cbaa1e955128c9ce71f576f376,26/06/2023 01:59:38,ESCANER
13413,"San Marcos",12,"Comitancillo",4,1842,380,1,26,65,24,3,3,13,1,44,1,0,0,0,1,0,182,13,6,201,0,201,--,380,179,182,201,201,Algún campo sin dato,1,6ff147a5a2ff332cad3a2e237446ff85d923d4b1ba9e4634916ecb94e1cffaa4,26/06/2023 02:26:17,ESCANER
