TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
84,84,100.0000,84,100.0000,0,31254,19706,63.0511

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,PODEMOS,VIVA,CABAL,MLP,UNE,BIEN,ELEFANTE,VAMOS,VALOR,AZUL,FCN-NACION,CAMBIO,P A N,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
12288,"Suchitepéquez",10,"Chicacao",13,1669,380,20,1,5,22,6,12,16,9,13,19,5,0,77,0,0,205,26,3,234,0,234,--,380,146,205,234,234,Algún campo sin dato,1,b4eca31f0ae42acc5a56f5edbafabf782c74aefbc3ef5e9e4a6a82dc8927ace5,26/06/2023 00:44:04,ESCANER
12289,"Suchitepéquez",10,"Chicacao",13,1669,380,11,2,6,26,0,6,17,7,31,17,2,2,76,1,0,204,22,4,230,0,230,--,380,150,204,230,230,Algún campo sin dato,1,c46088f9ebe09c3c1494d97e70e34a3c45adc64e8faa17f2685e135a24782a89,26/06/2023 01:08:34,ESCANER
12290,"Suchitepéquez",10,"Chicacao",13,1669,380,21,1,7,25,6,11,14,2,21,21,4,1,69,0,0,203,26,12,241,0,241,0,380,139,203,241,241,,1,be731d44f57a1dfcc18d5625488ed72ce1b58b232a1c49186eb26e6975c8e0e4,26/06/2023 03:31:09,ESCANER
12291,"Suchitepéquez",10,"Chicacao",13,1669,299,22,3,7,9,8,6,16,12,22,14,2,0,60,0,0,181,15,1,197,0,197,--,--,--,181,197,197,Algún campo sin dato,1,b9d963fd2db0ef0c04af7e9946db32bc9952fba34085f0cffa57fffa725da224,26/06/2023 00:24:45,ESCANER
12292,"Suchitepéquez",10,"Chicacao",13,1669,298,12,0,8,11,2,2,14,9,16,22,4,0,65,0,0,165,3,2,170,0,170,--,298,128,165,170,170,Algún campo sin dato,1,bf108aca428015471944481ad19bf7bff2c10676d6faccc2696e6ceb6f261b9d,25/06/2023 23:45:05,ESCANER
12293,"Suchitepéquez",10,"Chicacao",13,1670,380,90,9,47,10,8,7,2,3,21,38,7,1,5,0,2,250,18,2,270,0,270,--,380,110,250,270,270,Algún campo sin dato,1,6a400db7b44cf45963ce6ed79c4ee2fc4cd251035a95ca35beea4a2e8c415fd8,25/06/2023 23:49:20,ESCANER
12294,"Suchitepéquez",10,"Chicacao",13,1670,380,81,15,46,14,4,4,3,2,17,39,5,0,2,1,1,234,15,3,252,0,252,--,377,125,234,252,252,Algún campo sin dato,1,4386cf2818bfa219ace2126f725458938ec9b0b0aaf3a1af3a2eeefa720bece0,26/06/2023 00:44:57,ESCANER
12295,"Suchitepéquez",10,"Chicacao",13,1670,380,86,5,45,8,4,7,2,6,13,33,7,0,3,0,1,220,14,5,239,0,220,--,377,138,220,239,239,Sumas Asentadas sin cuadrar,1,c7d267db84a419ca58afa0052788239af8e61040db1866b4b397f48fd54a2878,26/06/2023 01:13:45,ESCANER
12296,"Suchitepéquez",10,"Chicacao",13,1670,380,80,18,37,15,6,4,2,3,17,47,2,0,1,0,0,232,13,1,246,0,246,--,380,134,232,246,246,Algún campo sin dato,1,bcbde91fcbeb47c200818cc18096cf4ff6a56b8c7d4d074002675a54bf61705d,25/06/2023 23:06:47,ESCANER
12297,"Suchitepéquez",10,"Chicacao",13,1670,380,91,15,44,9,10,4,2,3,5,47,2,1,2,0,0,245,10,6,261,0,261,--,376,115,235,251,251,Sumas Asentadas sin cuadrar,1,4dafdc55c2285de8241839b0ed82a62f7d625f8de1302537ae9f7495527efe38,26/06/2023 00:33:31,ESCANER
12298,"Suchitepéquez",10,"Chicacao",13,1670,380,82,14,50,10,6,5,2,8,32,28,3,1,1,1,1,244,6,4,254,0,254,0,380,126,244,254,254,,1,cc59eaaee7a950585eaf437a5fff7849757dd2d5038c614d9708239c66980255,26/06/2023 01:36:36,ESCANER
12299,"Suchitepéquez",10,"Chicacao",13,1670,380,91,15,41,8,5,4,1,4,20,40,2,0,1,0,0,232,4,0,236,0,236,--,380,144,232,236,236,Algún campo sin dato,1,ca22921d20557ead1dadf287a6167bd87ce1fcc06f9bb1db191c21849c7c0194,25/06/2023 22:57:58,ESCANER
12300,"Suchitepéquez",10,"Chicacao",13,1671,380,68,11,46,8,8,3,2,3,4,29,4,0,2,0,0,230,26,5,261,0,261,--,380,119,188,219,219,Sumas Asentadas sin cuadrar,1,8504ae8d506e584a93ef150fd11b61145e7e821e01df5e463fbb7e507e2e6337,26/06/2023 02:11:29,ESCANER
12301,"Suchitepéquez",10,"Chicacao",13,1671,380,76,16,41,8,3,10,2,3,25,30,3,2,4,1,0,224,12,3,239,0,239,--,380,141,224,239,239,Algún campo sin dato,1,24914b959abc3b603dd18b88b476d5ab5c8c47308fd1787eca1a04421072bec0,26/06/2023 01:32:06,ESCANER
12302,"Suchitepéquez",10,"Chicacao",13,1671,380,96,21,37,10,4,7,2,5,13,45,1,2,2,1,2,248,3,17,268,0,268,--,380,112,248,268,268,Algún campo sin dato,1,cbe0aaff9cc1c583b788a2ddbebc6120d41edd0098e5618919406c714a4cdf89,26/06/2023 01:11:18,ESCANER
12303,"Suchitepéquez",10,"Chicacao",13,1671,380,69,15,47,11,7,7,3,8,12,54,4,2,3,--,2,245,10,2,256,--,256,--,380,124,244,256,256,Sumas Asentadas sin cuadrar,1,bcfc57973c63558c949fe6d7a6865b1f6561ef176be3b7397288f40a870fe130,26/06/2023 02:48:31,ESCANER
12304,"Suchitepéquez",10,"Chicacao",13,1671,380,103,14,34,6,8,9,2,5,12,43,4,3,1,2,1,247,23,5,275,0,275,--,377,102,247,275,275,Algún campo sin dato,1,1e911e9bf0265417de2271cbec2ec884db93f9a041439af81cf41f8342ffb891,26/06/2023 00:44:12,ESCANER
12305,"Suchitepéquez",10,"Chicacao",13,1671,380,92,24,71,12,8,11,4,2,9,33,4,0,1,0,1,272,20,4,296,84,380,2,--,--,272,296,380,Algún campo sin dato,1,ef3accbf40e079905822eab5ec5c1f555c26eeb99a34acaab5a729369b7f5f4e,26/06/2023 01:39:14,ESCANER
12306,"Suchitepéquez",10,"Chicacao",13,1671,380,70,8,70,8,9,5,3,3,24,28,2,1,0,0,0,231,20,9,260,0,260,--,377,117,231,260,260,Algún campo sin dato,1,796a42459dbd70e12cc68155e27de0a58c6359787731be3e679b6a6a101e6ba6,26/06/2023 02:03:00,ESCANER
12307,"Suchitepéquez",10,"Chicacao",13,1671,380,89,13,31,3,6,10,2,2,24,50,2,1,4,0,0,237,29,8,274,0,274,--,380,106,237,274,274,Algún campo sin dato,1,d34d639d10b6362feecf1aed2b0f83d2fe4f051b3167059ad1264913536c788f,26/06/2023 01:24:20,ESCANER
12308,"Suchitepéquez",10,"Chicacao",13,1672,380,78,17,53,3,6,4,2,1,30,38,4,0,2,0,1,239,16,8,263,0,263,--,380,117,239,263,263,Algún campo sin dato,1,42305d6d2f5cbac5a4d23f0c85c0d74ec3d1997d5ec574db791b06bf9d9e3f71,26/06/2023 02:11:19,ESCANER
12309,"Suchitepéquez",10,"Chicacao",13,1672,380,94,14,36,4,8,9,2,6,8,49,4,0,3,1,1,239,15,7,261,0,261,--,380,119,239,261,261,Algún campo sin dato,1,e6e68da6e1133a214e6d41d0131586baa610caafbed6199a0e9076254ae945f4,26/06/2023 00:42:50,ESCANER
12310,"Suchitepéquez",10,"Chicacao",13,1672,380,70,17,24,8,8,3,4,2,11,55,1,0,4,0,0,207,15,6,228,0,228,--,380,152,207,228,228,Algún campo sin dato,1,30ebc88e14d0740f5d867122f1b73d76fcba96cb14008e1ca1aca6e7eafc0a9c,26/06/2023 03:12:09,ESCANER
12311,"Suchitepéquez",10,"Chicacao",13,1672,380,69,10,51,11,9,2,0,4,21,41,4,0,2,1,0,225,6,1,232,0,232,--,380,148,225,232,232,Algún campo sin dato,1,be6867c86d28c238cc40b83b1514105c92b621f59fbc20c6e0da1135d5a69f80,26/06/2023 00:09:22,ESCANER
12312,"Suchitepéquez",10,"Chicacao",13,1672,380,80,16,61,7,2,4,1,1,28,32,1,1,2,0,0,236,1,1,238,0,238,--,379,141,236,238,238,Algún campo sin dato,1,fb88d6cef70175afec2b293400cc8bdbe3e53d11e0b57209762a09020da66c83,25/06/2023 22:26:29,ESCANER
12313,"Suchitepéquez",10,"Chicacao",13,1672,380,91,9,46,2,4,2,1,3,11,51,3,0,4,1,0,228,1,1,230,0,230,--,380,150,228,230,230,Algún campo sin dato,1,7011db9f47dd15411278fc8ec79d452379c5261aa79a6f450f80a4c74848054f,25/06/2023 22:37:25,ESCANER
12314,"Suchitepéquez",10,"Chicacao",13,1672,267,61,11,24,4,2,1,3,5,7,29,1,0,2,0,0,150,3,1,154,0,154,--,267,113,150,154,154,Algún campo sin dato,1,a7324192e98641606369be23efa2521f9cff547927899794c6e3349daccc7d83,25/06/2023 22:35:18,ESCANER
12315,"Suchitepéquez",10,"Chicacao",13,1672,267,50,6,27,6,5,5,2,3,8,20,3,0,1,0,0,136,6,2,144,0,144,--,267,123,136,144,144,Algún campo sin dato,1,11934425e901de7609bf53583b00ba31132969b5051918ac6bf9414ef069d832,25/06/2023 22:53:53,ESCANER
12316,"Suchitepéquez",10,"Chicacao",13,1673,380,27,3,17,16,13,15,11,28,59,27,--,2,8,1,--,227,23,10,260,--,227,--,380,120,227,260,260,Sumas Asentadas sin cuadrar,1,73cd56c4fbaf0a00c1d2ce6a6467c6adf2d785020512c7d34ca6afb1fc084623,26/06/2023 00:23:40,ESCANER
12317,"Suchitepéquez",10,"Chicacao",13,1673,380,29,4,10,13,17,17,15,41,48,27,5,3,4,3,2,238,40,5,283,0,283,--,380,97,238,283,283,Algún campo sin dato,1,188fd8b8c5bc410917f4bd795cd76bc6633e96eb4313bc153ca80e1be35c18c2,26/06/2023 02:15:30,ESCANER
12318,"Suchitepéquez",10,"Chicacao",13,1673,380,40,3,17,15,12,12,7,39,49,29,5,0,7,3,1,239,19,7,265,0,265,--,379,114,239,265,265,Algún campo sin dato,1,ac9c6b4ca044b4d1d2c36f249abe104db651b97367cc36e7ee2a9e3c8a05d6c7,25/06/2023 23:52:25,ESCANER
12319,"Suchitepéquez",10,"Chicacao",13,1673,380,19,1,10,15,5,12,9,37,59,24,4,0,9,2,0,206,19,5,230,0,230,--,380,150,206,230,230,Algún campo sin dato,1,9a2ed95c0a304dde9689c6205de69a05daa4613cbd2b432a57dc229f71ef75d8,26/06/2023 01:04:49,ESCANER
12320,"Suchitepéquez",10,"Chicacao",13,1673,380,25,2,12,13,12,18,11,28,51,12,3,3,18,2,0,210,19,10,239,0,239,--,380,141,210,239,239,Algún campo sin dato,1,7b7e51f46172c5c247fa993f200c5407e3d8c7b1deca46db6ad8ec4ab61b76d4,25/06/2023 23:07:33,ESCANER
12321,"Suchitepéquez",10,"Chicacao",13,1673,380,46,1,13,8,7,16,6,37,50,35,1,3,6,4,0,233,25,8,266,0,266,--,380,114,233,266,266,Algún campo sin dato,1,0539876ef92d36297763c4b90ab221074f33512495d666b5dd3eb4e24e011300,26/06/2023 00:06:00,ESCANER
12322,"Suchitepéquez",10,"Chicacao",13,1673,380,30,1,10,10,12,6,9,36,50,29,2,1,12,1,--,209,19,5,233,0,233,--,376,141,209,233,233,Algún campo sin dato,1,848ffa3ec70dcf0026f37ec1d99384cf58d594851c25f16ea9417b45b0a25a56,26/06/2023 02:09:11,ESCANER
12323,"Suchitepéquez",10,"Chicacao",13,1673,241,14,2,12,7,5,3,6,27,30,21,1,0,6,0,0,134,1,0,135,0,135,--,241,106,134,135,135,Algún campo sin dato,1,30ba177c12ec67a325df415e52c571d964df2f397af7beebfadc9fbfd20a154d,25/06/2023 22:40:59,ESCANER
12324,"Suchitepéquez",10,"Chicacao",13,1673,241,18,0,5,8,9,7,8,14,23,10,0,0,0,2,0,106,6,1,113,11,124,--,--,--,104,111,122,Sumas Asentadas sin cuadrar,1,989ed1493470f943df4029ac6bbb7f2ec1938a994ca9121c7f3cbf910be1a515,25/06/2023 22:15:45,ESCANER
12325,"Suchitepéquez",10,"Chicacao",13,1674,380,45,59,13,6,3,11,18,8,24,9,1,0,2,4,1,206,26,6,238,0,238,--,380,142,204,236,236,Sumas Asentadas sin cuadrar,1,fc32bee2ebfa2dc8b8e23eb0b31b817420a8ca7a5223e8158c029fc4cc5df672,26/06/2023 00:16:27,ESCANER
12326,"Suchitepéquez",10,"Chicacao",13,1674,380,47,90,20,4,2,13,7,6,22,9,6,0,2,1,0,229,27,6,262,0,262,--,380,118,229,262,262,Algún campo sin dato,1,011ced5587c94b4213ed39df8f4356912a303bbece2f3c778f4e5570cc870afc,26/06/2023 01:01:40,ESCANER
12327,"Suchitepéquez",10,"Chicacao",13,1674,380,44,77,11,4,2,7,14,5,21,12,5,0,3,1,1,207,18,3,228,0,228,--,380,152,207,228,228,Algún campo sin dato,1,a38546aed655013b0319c66915dd7f6e8c6ad63dec4ace15dfe466a61ed4396b,26/06/2023 00:31:32,ESCANER
12328,"Suchitepéquez",10,"Chicacao",13,1674,380,41,57,17,3,2,9,13,6,14,14,6,0,2,3,1,188,37,6,231,0,231,--,380,149,188,231,231,Algún campo sin dato,1,421ff7650ba1aeb93995bfd751509739f1c20e20bb0a90143da5319918e449f7,25/06/2023 23:51:23,ESCANER
12329,"Suchitepéquez",10,"Chicacao",13,1674,380,38,76,12,4,2,17,14,5,13,11,5,1,3,1,0,202,34,8,244,0,244,--,380,136,202,244,244,Algún campo sin dato,1,dabbc5762fc95a5af6a197b8619ac77754c7f6b7c707c89dbf90e972f5837907,26/06/2023 00:22:59,ESCANER
12330,"Suchitepéquez",10,"Chicacao",13,1674,327,42,63,12,1,1,4,10,3,17,13,6,0,3,0,0,175,7,3,185,0,185,--,327,142,175,185,185,Algún campo sin dato,1,2eab4f8c7f670ee0f08c434069983d89ac328171d37d467b05f560e7c8663b2b,25/06/2023 22:25:28,ESCANER
12331,"Suchitepéquez",10,"Chicacao",13,1674,326,41,61,9,2,2,4,10,1,15,5,2,0,1,0,0,153,10,3,166,0,166,--,326,160,153,166,166,Algún campo sin dato,1,d0b405685b3b811530208bcca01f541251eb77f1bb9599dcd546919132a46419,25/06/2023 23:28:16,ESCANER
12332,"Suchitepéquez",10,"Chicacao",13,1675,600,23,5,17,29,3,8,4,15,28,23,1,1,6,3,1,167,12,5,184,--,184,--,597,413,167,184,184,Algún campo sin dato,1,64aece9bb58820eadd9e4da4d229874a47906665ca1c5dc3071bf5107178ee66,25/06/2023 23:08:40,ESCANER
12333,"Suchitepéquez",10,"Chicacao",13,1675,357,20,3,8,16,3,6,1,8,15,18,2,4,6,0,0,110,8,6,124,233,357,--,357,233,110,124,357,Algún campo sin dato,1,0b33de6ad1dbda468992181cedf3285d22c8401750dfbbcfdc83b98fcacdccc5,26/06/2023 00:06:49,ESCANER
12334,"Suchitepéquez",10,"Chicacao",13,1675,357,7,2,8,8,4,3,3,5,13,7,0,1,6,0,0,67,4,1,72,0,72,--,357,285,67,72,72,Algún campo sin dato,1,eaba828515acfd71fd714f217c741f737dcc621dafa6cd445c42707324a8f39d,25/06/2023 22:40:47,ESCANER
