TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
51,51,100.0000,51,100.0000,0,19179,15018,78.3043

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,UNE,MLP,TODOS,AZUL,VICTORIA,SEMILLA,VOS,VIVA,PODEMOS,PPN,CCEA,CCSP,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9592,"Sololá",7,"San Lucas Tolimán",13,1195,380,81,71,33,9,41,4,4,9,4,3,2,25,3,3,292,4,1,297,0,297,--,380,83,292,297,297,Algún campo sin dato,1,3b9c88c557ff9df31e1fa990fb2d0f8bbc382eb7234e45ede9b06c99e6458ca5,26/06/2023 00:41:36,ESCANER
9593,"Sololá",7,"San Lucas Tolimán",13,1195,380,70,64,33,10,40,8,2,0,4,2,1,40,4,0,278,4,1,283,0,283,--,380,97,278,283,283,Algún campo sin dato,1,8ccdfdfc5991f3fc6a8cbc398690dc85e219893a0025229ad641086c6725bdcc,25/06/2023 23:53:03,ESCANER
9594,"Sololá",7,"San Lucas Tolimán",13,1195,201,41,37,24,5,21,2,0,2,1,3,0,14,0,1,151,2,2,155,0,155,--,201,46,151,155,155,Algún campo sin dato,1,16cb4b65fc718328e3f3892ca1f925ffc3873ca505ac065f94ed6436691404e9,26/06/2023 00:08:16,ESCANER
9595,"Sololá",7,"San Lucas Tolimán",13,1195,200,52,33,16,3,19,1,3,0,3,2,1,22,0,1,156,2,1,159,0,159,--,200,41,156,159,159,Algún campo sin dato,1,6cab94095e569a20a482815f6aee89e83556687e8ac7a4226419b6bc283a8025,25/06/2023 23:49:04,ESCANER
9596,"Sololá",7,"San Lucas Tolimán",13,1196,380,34,41,81,3,67,0,33,0,19,3,0,15,1,1,298,4,2,304,0,304,--,380,76,298,304,304,Algún campo sin dato,1,05b3b23497c50921fa59a30cf76e7b8ac8432abcfcdf42ca144d9151b015494f,25/06/2023 22:55:52,ESCANER
9597,"Sololá",7,"San Lucas Tolimán",13,1196,380,40,42,98,2,62,1,23,1,7,3,1,17,1,1,299,17,5,321,0,321,--,380,59,299,321,321,Algún campo sin dato,1,523a1d63cfcfdca5cb400a0ff0e85687ee7b84222b01186c437a7eae5c577d48,26/06/2023 01:28:15,ESCANER
9598,"Sololá",7,"San Lucas Tolimán",13,1196,380,48,41,93,2,52,1,25,0,15,3,1,18,2,4,305,3,0,308,4,312,--,380,68,305,308,312,Algún campo sin dato,1,5557e8e6b274adc2ab7f61888d1c20ba8c19e7989676ad172115334949fa494c,26/06/2023 01:15:18,ESCANER
9599,"Sololá",7,"San Lucas Tolimán",13,1196,380,32,43,74,0,42,2,31,0,21,1,1,22,0,0,269,10,4,283,0,283,--,380,97,269,283,283,Algún campo sin dato,1,43bd42e12c2538c9d0a4c5b465f8134f8d72072b1cf7663cb723035b0712d987,26/06/2023 00:09:30,ESCANER
9600,"Sololá",7,"San Lucas Tolimán",13,1196,379,26,39,65,2,61,0,33,1,14,1,1,14,0,1,258,2,2,262,0,262,--,376,114,258,262,262,Algún campo sin dato,1,351f66c8652f15ecf961bb2754b6c781c68cc9c470b088ebb1f4eaea7fcaf23d,26/06/2023 00:36:33,ESCANER
9601,"Sololá",7,"San Lucas Tolimán",13,1196,379,21,41,66,3,57,0,28,0,19,1,1,19,0,0,256,1,0,257,8,376,--,376,119,256,257,265,Sumas Asentadas sin cuadrar,1,b24d92524c23113fec07a12f4f3b58137218102047e77866dbb268429d915b2d,26/06/2023 01:40:29,ESCANER
9602,"Sololá",7,"San Lucas Tolimán",13,1197,328,21,12,9,16,11,1,9,2,0,8,4,18,7,13,131,7,6,144,0,144,--,328,184,131,144,144,Algún campo sin dato,1,ab312bd4b447622ff647e1cb5c38ac0bea39324ea64952bd69e5969fe6d43f54,25/06/2023 23:37:58,ESCANER
9603,"Sololá",7,"San Lucas Tolimán",13,1197,327,22,8,11,20,7,2,6,3,2,10,3,22,4,12,132,6,3,141,0,141,1,327,185,132,141,141,,1,31f015c44d80ff8438a61fbf31073cff167f82c5ac3873ecd19e803751d51897,26/06/2023 00:45:26,ESCANER
