TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
640,640,100.0000,636,99.3750,4,252887,149402,59.0785

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,BIEN,CABAL,MLP,UNE,PPG,PIN,PHG,WINAQ,VIVA,ELEFANTE,TODOS,AZUL,U R N G - MAIZ,UR,PODEMOS,PR,VALOR,MI FAMILIA,CAMBIO,PPN,VICTORIA,SEMILLA,P A N,VOS,FCN-NACION,CREO,UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
4273,"Guatemala",1,"Villa Nueva",15,441,400,26,17,9,0,9,27,16,2,2,10,3,2,4,4,31,4,0,24,2,7,2,2,22,1,6,5,3,3,243,16,0,259,0,259,--,400,141,243,259,259,Algún campo sin dato,1,b62f64e4cf2b51b46c2b9c8c834139f051c66ccb82cad6b2906cb31bcc6310e2,26/06/2023 02:47:42,ESCANER
4274,"Guatemala",1,"Villa Nueva",15,441,400,18,22,12,2,5,18,11,4,4,2,2,3,1,3,40,1,0,24,1,2,1,0,34,0,4,0,2,7,223,6,0,229,0,0,--,400,171,223,229,229,Algún campo sin dato,1,5cafd959780412492e387376bb118df32861e8896862a5584f3937c55fdcb1ab,26/06/2023 01:36:28,ESCANER
4275,"Guatemala",1,"Villa Nueva",15,441,400,23,15,9,4,5,33,22,4,0,1,6,9,2,4,45,6,2,21,3,1,0,4,22,0,3,3,0,2,249,6,1,256,0,256,--,403,147,249,256,256,Algún campo sin dato,1,2f3e50a116e12d144a72ee3c9387a2dbdf3a925f54014f9a8ea91fa24f60e4c6,26/06/2023 01:10:49,ESCANER
4276,"Guatemala",1,"Villa Nueva",15,441,400,17,9,8,0,6,18,13,2,0,3,3,1,1,0,24,1,0,19,2,0,2,0,26,0,2,1,0,1,159,7,0,166,0,166,--,400,234,159,166,166,Algún campo sin dato,1,16e6826314f4ab29984e799ed188e7bca4b3fe01afe25b264383494864190da5,25/06/2023 23:15:27,ESCANER
4277,"Guatemala",1,"Villa Nueva",15,441,400,18,11,10,1,7,21,17,5,2,5,7,5,2,0,38,2,0,23,0,4,2,2,24,0,5,3,3,1,218,12,0,230,0,230,--,400,170,218,230,230,Algún campo sin dato,1,0c791558859a7993941b7f49b783236381de8915cfa120c8c6f57815db42de8f,26/06/2023 00:25:17,ESCANER
4278,"Guatemala",1,"Villa Nueva",15,441,354,15,9,10,0,6,21,17,4,2,4,3,3,0,1,34,1,1,17,2,2,1,2,40,1,3,1,1,2,203,9,0,212,0,212,--,351,139,203,212,212,Algún campo sin dato,1,bc426c122cb459dcc7e012c4397d7884cd16f4c699b8813ed7e3c3c71298dc89,25/06/2023 23:41:31,ESCANER
4279,"Guatemala",1,"Villa Nueva",15,441,353,14,4,5,1,5,15,14,0,1,1,1,1,3,0,34,2,1,15,1,2,2,3,14,0,3,4,0,1,147,6,2,155,0,155,--,353,195,147,155,155,Algún campo sin dato,1,2b010c3fcb41f7c40091835a4cdad514f02918d3e558eb6d5548e7b0637075e6,26/06/2023 00:58:16,ESCANER
4280,"Guatemala",1,"Villa Nueva",15,442,400,35,14,10,1,14,18,6,1,2,13,10,4,3,5,27,2,1,31,2,1,2,12,11,0,5,5,0,--,235,14,3,252,--,252,--,400,148,235,252,252,Algún campo sin dato,1,e095bfad36d0440d71a426a7ca61cd4fe9da35d23dd72aeeca709887e8815d5e,26/06/2023 01:39:16,ESCANER
4281,"Guatemala",1,"Villa Nueva",15,442,400,26,14,16,1,16,17,15,3,1,10,7,5,0,4,27,0,0,27,3,8,0,16,15,0,1,3,2,2,239,24,1,264,0,--,--,400,136,239,264,264,Algún campo sin dato,1,a4abb508f8e249582fceddda70590e4577532266acf33e364d8685a6e19f796f,25/06/2023 23:45:10,ESCANER
4282,"Guatemala",1,"Villa Nueva",15,442,400,35,27,13,1,10,11,10,2,1,4,11,1,3,2,23,2,0,23,1,0,0,3,18,1,3,4,0,5,214,23,1,238,--,--,--,400,162,214,238,238,Algún campo sin dato,1,6a6cdf0c4fd1e433a379215c71b22403529f40c3e5a4ed6c4cbda46d1da0db5f,26/06/2023 01:22:05,ESCANER
4283,"Guatemala",1,"Villa Nueva",15,442,400,29,15,10,3,16,12,8,0,0,7,7,1,2,4,27,4,2,15,2,6,0,7,15,4,2,4,0,5,207,26,3,236,0,236,--,400,164,207,236,236,Algún campo sin dato,1,de4faf3c7eade776fb470d98f188918a53e0c04d5f52bb6baaae73ac82fc379d,26/06/2023 02:49:14,ESCANER
4284,"Guatemala",1,"Villa Nueva",15,442,400,20,5,0,0,4,1,0,0,0,13,14,1,2,7,9,0,1,11,3,1,1,10,38,3,10,2,4,0,160,74,8,242,0,242,--,400,158,160,242,242,Algún campo sin dato,1,2025821f60ea32f3b5191afb603fede736fef0814b2b00fe30053c49f9c521ea,26/06/2023 03:12:09,ESCANER
4285,"Guatemala",1,"Villa Nueva",15,442,400,33,24,13,3,8,10,5,1,4,9,3,3,0,0,32,0,0,31,2,1,1,0,16,1,8,0,0,0,217,17,4,238,0,238,--,400,162,208,229,229,Sumas Asentadas sin cuadrar,1,82c1cf5338dbed75c362414781431809c9fd3a7041b8d2923a65c37451d3ea5a,26/06/2023 00:49:38,ESCANER
4286,"Guatemala",1,"Villa Nueva",15,442,400,31,15,11,0,14,16,9,2,1,8,8,2,5,5,21,0,2,21,0,6,0,7,14,1,5,4,1,3,212,22,2,236,0,236,--,400,164,212,236,236,Algún campo sin dato,1,83382e0cc7f26f122d9af67d67bc73c2f522a2f8384918da93eec41da5d7b9d6,25/06/2023 23:18:26,ESCANER
4287,"Guatemala",1,"Villa Nueva",15,442,400,20,11,11,0,17,12,12,0,2,5,5,2,2,2,37,1,1,22,2,5,2,7,20,2,2,2,0,4,208,10,2,220,0,220,--,400,180,208,220,220,Algún campo sin dato,1,5ed9ec19e175d07aced7c63f917b761f2dfa83d2317151aa78fe9ffa15e951cd,26/06/2023 01:31:54,ESCANER
4288,"Guatemala",1,"Villa Nueva",15,442,393,21,13,11,2,9,18,13,1,2,7,3,2,1,3,35,2,1,18,5,4,1,8,43,0,4,3,1,2,233,15,1,249,0,249,--,388,139,233,249,249,Algún campo sin dato,1,4ae7765121e57bba5c8425421b1646ef3c47329f6d8f5ee90616f837d2c736ba,26/06/2023 02:25:06,ESCANER
4289,"Guatemala",1,"Villa Nueva",15,442,393,30,5,8,1,3,9,7,3,2,3,8,1,3,3,32,3,0,18,2,2,1,5,39,1,3,3,0,4,199,11,0,210,0,210,--,393,183,199,210,210,Algún campo sin dato,1,5360dcf21dc60e085175f381203a6a32d767d61e11d42da8554dc0168f8c670a,26/06/2023 00:05:53,ESCANER
4290,"Guatemala",1,"Villa Nueva",15,443,400,56,23,7,3,10,6,10,0,3,6,3,2,3,14,15,4,2,18,4,5,3,1,30,2,10,1,3,2,246,24,0,270,0,270,--,400,130,246,270,270,Algún campo sin dato,1,c2b074b1b75c77a92246bf9cc655d039e287b75f71d9fa58cdd51a1a2bfc816d,26/06/2023 00:18:42,ESCANER
4291,"Guatemala",1,"Villa Nueva",15,443,400,33,21,21,2,6,16,5,1,3,3,5,0,1,7,13,2,2,27,1,1,0,7,36,1,8,1,4,1,228,6,5,239,9,248,--,397,149,228,239,248,Algún campo sin dato,1,d5cd39c621771b22a8f1e59f641842378d7f99e882c97f1a587f1c1adf67c892,26/06/2023 02:23:12,ESCANER
4292,"Guatemala",1,"Villa Nueva",15,443,400,43,20,17,2,8,19,8,3,5,2,5,1,5,10,12,1,3,29,2,1,2,5,32,0,9,1,2,4,251,20,1,272,0,272,--,400,128,251,272,272,Algún campo sin dato,1,12b2a580d16ec222ab3d7d44373b8c0145238aead0e73ff58534e2d2e090f55b,26/06/2023 02:25:56,ESCANER
4293,"Guatemala",1,"Villa Nueva",15,443,400,36,19,14,1,7,9,2,3,5,11,10,2,4,4,15,2,1,14,2,2,0,9,36,0,2,0,2,0,212,19,1,232,0,232,--,400,168,212,232,232,Algún campo sin dato,1,497a71c3e5909dbf95d33bb0ade22774736d15de356f748cb4237890b0e94e3a,26/06/2023 02:01:34,ESCANER
4294,"Guatemala",1,"Villa Nueva",15,443,400,37,16,14,2,5,19,4,1,9,4,7,4,3,7,7,2,1,22,1,5,3,2,40,2,10,0,3,4,234,16,1,251,0,251,--,400,146,234,251,251,Algún campo sin dato,1,2da96d57c6ee41e0ec25f68699200eaa9978f933cf8337589387767ef57f3a15,26/06/2023 02:37:17,ESCANER
4295,"Guatemala",1,"Villa Nueva",15,444,400,32,28,21,4,4,9,4,1,5,6,7,2,7,7,15,3,1,15,2,6,1,5,28,2,12,1,3,9,240,17,1,258,0,258,--,400,142,240,258,258,Algún campo sin dato,1,bd3733fe8f43f0767cc720d160f91c61f23858952af6c1d25320aaa739d249c4,26/06/2023 00:21:06,ESCANER
