TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
97,97,100.0000,97,100.0000,0,36452,19514,53.5334

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,VALOR,MLP,VIVA,ELEFANTE,CAMBIO,UNE,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21866,"Izabal",18,"Los Amates",5,3389,380,112,49,1,1,5,2,2,66,1,239,28,2,269,111,380,--,380,111,239,269,380,Algún campo sin dato,1,e347f9f83626c7f81ed4b3b5df6d2f113b054fdb3b6d080748e0dfb983119cbe,26/06/2023 00:55:25,ESCANER
21867,"Izabal",18,"Los Amates",5,3389,380,106,40,0,0,4,0,0,76,0,226,12,2,240,0,240,--,377,137,226,240,240,Algún campo sin dato,1,e0da56658a262abb7a9df45b42025fb15387c7beeb644eb9a9129c64288f3858,26/06/2023 00:36:12,ESCANER
21868,"Izabal",18,"Los Amates",5,3389,332,79,45,0,0,2,2,0,35,1,164,25,2,191,1,192,--,329,137,164,191,192,Algún campo sin dato,1,4ba6c43cf8b6514e1bd2f0ec4419ba76b9354083de4e517353a2d56517a2cf77,26/06/2023 01:19:39,ESCANER
21869,"Izabal",18,"Los Amates",5,3389,332,86,55,1,0,1,0,0,40,0,183,7,0,190,0,190,--,329,139,183,190,190,Algún campo sin dato,1,d4df08bdfaa13d8082b1a13c68a13e80cdfaa5a27d7f117117618fd72c6bc265,25/06/2023 23:05:41,ESCANER
21870,"Izabal",18,"Los Amates",5,3390,380,116,57,3,2,3,0,0,43,1,225,17,3,245,0,245,--,380,135,225,245,245,Algún campo sin dato,1,8a050d63f48e6390fd905f07fd36652f1ecfd13b7b4f9bb28580d2d9e4212cb4,26/06/2023 00:30:50,ESCANER
21871,"Izabal",18,"Los Amates",5,3390,380,114,69,1,1,6,1,1,47,0,240,21,0,261,0,261,--,380,119,240,261,261,Algún campo sin dato,1,02d4459e9183a8fab32abd13064cce653462e3f24c6b0e4d1b40a9f088ebd553,26/06/2023 00:45:29,ESCANER
21872,"Izabal",18,"Los Amates",5,3390,380,102,80,0,0,5,0,2,60,1,250,21,7,278,--,--,--,378,100,250,278,278,Algún campo sin dato,1,3d56ca6c2d190f12086ffcfdf8f8cedf87e4d2c5c4f270a2c94513e5e4943963,26/06/2023 01:28:39,ESCANER
21873,"Izabal",18,"Los Amates",5,3390,380,109,70,0,1,3,0,2,63,0,248,10,5,263,0,263,--,380,117,248,263,263,Algún campo sin dato,1,ee37869548964e7c7cefb8f6c0a2973c9635e3e83201de0e3a5f341da4057614,26/06/2023 02:20:27,ESCANER
21874,"Izabal",18,"Los Amates",5,3390,380,108,71,0,0,1,1,0,43,1,225,7,2,234,0,234,--,380,146,225,234,234,Algún campo sin dato,1,0f68316ebab6452098ac735fa38f51f9777cea840fbcda7b347d5730143af46e,26/06/2023 00:57:19,ESCANER
21875,"Izabal",18,"Los Amates",5,3390,380,91,66,0,2,4,2,0,67,0,232,11,2,245,0,245,1,380,135,232,245,245,,1,377a0151ada937191417dbf3a92a725f85f7382b7263418564b7f466f1f45330,26/06/2023 01:14:22,ESCANER
21876,"Izabal",18,"Los Amates",5,3390,380,96,77,2,0,0,1,0,56,0,232,10,2,244,0,244,--,377,133,232,244,244,Algún campo sin dato,1,4655eb0a6243667d1caf99e67b25d78b1e3c85817944173da5cff7f14003ba11,25/06/2023 23:41:02,ESCANER
