TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
110,110,100.0000,110,100.0000,0,39922,21234,53.1887

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNE,VAMOS,MLP,VALOR UNIONISTA,AZUL,CABAL,VOS,PODEMOS,URNG-MAIZ WINAQ,CAMBIO,CREO,MI FAMILIA,PHG,PPN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
18176,"Baja Verapaz",15,"Salamá",1,2776,380,68,39,41,12,1,25,28,3,0,1,1,12,2,0,0,233,25,10,268,0,268,--,380,112,233,268,268,Algún campo sin dato,1,7618c7ae4a995baeddff5619f8b234c85d05d4f0ab07a4e1d14133fc553e53ce,26/06/2023 00:19:49,ESCANER
18177,"Baja Verapaz",15,"Salamá",1,2776,380,47,25,25,15,2,32,24,1,1,0,2,17,2,0,0,193,14,6,213,0,213,--,380,167,193,213,213,Algún campo sin dato,1,01359786f2b675d172d2fe3680b03138ce5a82d060d69b6b6fb6c65a6a43685e,25/06/2023 23:09:10,ESCANER
18178,"Baja Verapaz",15,"Salamá",1,2776,380,37,16,38,15,1,28,24,1,0,0,0,6,6,1,0,173,22,7,202,0,202,0,380,178,173,202,202,,1,74c7c3c0b4cd78fec88c459de08a4c8e715a7d2018d109ea5a3d4addc201c949,26/06/2023 03:24:37,ESCANER
18179,"Baja Verapaz",15,"Salamá",1,2776,374,55,19,28,6,1,30,26,0,0,2,0,9,4,2,0,182,8,1,191,0,191,--,374,183,182,191,191,Algún campo sin dato,1,f2e7d15bb7888da0f072a1209f562adc87364975530e40d3da742fcbe4514c08,26/06/2023 03:25:23,ESCANER
18180,"Baja Verapaz",15,"Salamá",1,2776,374,42,24,26,16,1,17,17,3,0,0,1,3,2,0,0,152,8,5,165,0,165,--,374,209,152,165,165,Algún campo sin dato,1,b83a71932013d8f64ccb9ebfe703ec0c6df1145041b0faf838c847c25c9bf9b9,25/06/2023 22:25:56,ESCANER
18181,"Baja Verapaz",15,"Salamá",1,2777,380,29,14,55,15,3,50,15,0,2,1,3,1,2,0,0,190,42,10,242,0,242,--,380,138,190,242,242,Algún campo sin dato,1,7dfdf8aa38c90744133aea87cbdc76aa4025f91be2dec99829401c60f764802c,26/06/2023 01:08:00,ESCANER
18182,"Baja Verapaz",15,"Salamá",1,2777,380,18,15,51,26,7,51,8,2,0,2,2,2,2,0,3,189,34,19,242,0,242,--,380,138,189,242,242,Algún campo sin dato,1,a6185e1a93220975fdf51f2bd2e97515165de1cda4ca92fa2230742a2225acaf,26/06/2023 00:58:23,ESCANER
18183,"Baja Verapaz",15,"Salamá",1,2777,380,25,13,45,30,9,58,16,3,2,0,2,4,3,0,2,212,19,7,238,0,238,--,380,142,212,238,238,Algún campo sin dato,1,42037cf7fe6d55b65f9a1d260def75ca0281a3268f8c2054da74aa4e3d84573b,25/06/2023 22:36:21,ESCANER
18184,"Baja Verapaz",15,"Salamá",1,2777,341,18,12,43,15,1,31,11,0,1,0,2,1,1,3,0,139,15,6,160,0,160,--,341,181,139,160,160,Algún campo sin dato,1,ded37951bae2f358de6fdff4708ecdfdd37bf9382b4fae8f92f2bd53cff1273e,26/06/2023 00:35:52,ESCANER
18185,"Baja Verapaz",15,"Salamá",1,2777,340,21,9,42,18,5,22,9,1,1,1,0,1,1,0,1,132,12,4,148,0,148,--,340,192,132,148,148,Algún campo sin dato,1,791ad12ac40af1b7bcdbd2df1a27e2aaf974c7fb4232c8b5878c239a527baec2,25/06/2023 23:59:57,ESCANER
18186,"Baja Verapaz",15,"Salamá",1,2778,380,20,26,28,3,3,17,2,3,0,3,0,0,4,10,0,119,15,7,141,0,141,0,380,239,119,141,141,,1,cfcd6c147f282af051e4b238dfd97863d82826400f92a10bad75729caa5f6508,25/06/2023 22:39:24,ESCANER
18187,"Baja Verapaz",15,"Salamá",1,2778,380,20,16,33,1,9,16,8,4,1,0,1,0,2,7,1,119,19,9,147,0,147,--,379,232,119,147,147,Algún campo sin dato,1,319038e0e8ad89bcabdb90c24bbe83dda896d14f316635db5467c14c5d1b59a4,26/06/2023 00:03:42,ESCANER
18188,"Baja Verapaz",15,"Salamá",1,2778,380,16,14,35,0,3,37,7,7,0,3,0,0,1,4,0,127,16,4,147,0,147,--,380,233,127,147,147,Algún campo sin dato,1,927c0d1669dde4bb6141db1f8b4c0749ad0ab752559bf70cbd33b58a1874759f,26/06/2023 00:27:37,ESCANER
18189,"Baja Verapaz",15,"Salamá",1,2778,380,18,22,21,7,5,25,7,9,0,2,0,0,1,4,0,121,10,9,140,0,140,--,380,240,121,140,140,Algún campo sin dato,1,d373b1ec78f07002aa678c36fa55d030fa7f1e7cfc4562a4b07170da63258ecc,26/06/2023 03:59:54,ESCANER
18190,"Baja Verapaz",15,"Salamá",1,2778,264,11,5,23,4,5,9,5,4,1,2,0,0,0,5,0,74,5,8,87,0,87,--,264,177,74,87,87,Algún campo sin dato,1,3220363de1864d0f21e9d35d1cafcf30ba55bb71ef35fb5ee42f7960b571c961,25/06/2023 22:53:36,ESCANER
18191,"Baja Verapaz",15,"Salamá",1,2778,263,9,8,17,1,0,19,5,3,0,0,0,0,1,14,0,77,2,0,79,0,79,--,263,184,77,79,79,Algún campo sin dato,1,a3cd87e39f249672c766c8315a50bf74de2280e3040f220833471ecfecdd18ee,25/06/2023 23:05:59,ESCANER
18192,"Baja Verapaz",15,"Salamá",1,2779,380,17,10,41,38,5,14,20,11,1,2,0,1,1,0,11,172,30,8,38,0,210,--,377,167,172,210,210,Sumas Asentadas sin cuadrar,1,93015b2df5d08472c25462f67be38639e05096f9c4549b27badaf3e47bb6fabb,25/06/2023 23:41:21,ESCANER
18193,"Baja Verapaz",15,"Salamá",1,2779,380,19,4,37,40,2,10,14,8,0,2,1,1,0,19,2,159,38,14,211,0,211,--,--,--,159,211,211,Algún campo sin dato,1,65ccb2d5288d7326fd45b55809944b4c9124e78a30a6ca46625a43fe1512089d,25/06/2023 23:02:55,ESCANER
18194,"Baja Verapaz",15,"Salamá",1,2779,380,10,12,34,64,1,7,11,11,0,0,1,2,0,15,1,169,22,12,203,0,203,--,380,177,169,203,203,Algún campo sin dato,1,6342f25e8df27e1ecd51d99445f300f1cd0d650f706f285a3b1fd95bf7ae5ba6,25/06/2023 23:53:57,ESCANER
18195,"Baja Verapaz",15,"Salamá",1,2780,380,21,9,29,39,2,5,27,8,0,2,1,1,2,19,0,165,11,4,180,0,180,--,380,200,165,180,180,Algún campo sin dato,1,1670c4e757f1e9dc236065cb9c28b3a4034335e74ae398a37861a844db206c5f,25/06/2023 23:22:34,ESCANER
18196,"Baja Verapaz",15,"Salamá",1,2780,380,16,11,28,49,0,11,16,9,2,1,0,2,0,15,0,160,11,5,176,0,176,--,380,204,160,176,176,Algún campo sin dato,1,cca2a0fc071542b59204e19cad7d4eea98c3f37e321cfabf1418a6bc33c688e1,26/06/2023 04:31:53,ESCANER
18197,"Baja Verapaz",15,"Salamá",1,2780,293,8,3,20,28,0,4,12,11,0,2,0,0,1,21,0,110,4,0,114,0,114,--,293,179,110,114,114,Algún campo sin dato,1,b1cb63cfd961241285b4b519da944a58716121a50cdb8718ee5907687b363bc5,25/06/2023 22:40:24,ESCANER
18198,"Baja Verapaz",15,"Salamá",1,2780,292,11,2,13,39,1,0,11,4,0,1,0,1,0,7,1,91,3,0,94,0,94,--,292,198,91,94,94,Algún campo sin dato,1,6329a1a93056a09be301a16b048de53b84687347130f02633fec15e6923adc5f,25/06/2023 20:25:52,ESCANER
18199,"Baja Verapaz",15,"Salamá",1,2781,380,22,13,47,3,2,82,46,2,1,2,0,0,0,0,1,221,18,8,247,0,247,--,380,133,221,247,247,Algún campo sin dato,1,51f243d5cde62ade36b0605d6f8cc711548d6da3c59d1eed81e3dc919fc41d8d,26/06/2023 13:57:28,MOVIL
18200,"Baja Verapaz",15,"Salamá",1,2781,371,19,19,54,0,3,60,32,1,1,1,0,6,0,2,1,199,25,8,232,0,232,--,371,139,199,232,232,Algún campo sin dato,1,a829a188f7639924ac80d2bada11b6061dcffc4dad7635620ff69b18ae8ae963,25/06/2023 23:52:36,ESCANER
18201,"Baja Verapaz",15,"Salamá",1,2781,370,16,12,27,0,3,62,33,6,1,4,0,3,1,0,0,168,16,2,186,0,186,--,370,184,168,186,186,Algún campo sin dato,1,a65f477d2ad39c19c5703cbefac9ca96c21ba5aac14e0d31b229615844ad637e,26/06/2023 00:39:29,ESCANER
18202,"Baja Verapaz",15,"Salamá",1,2782,380,47,19,53,12,7,39,20,7,0,0,6,0,3,1,1,215,24,4,243,0,243,--,380,137,215,243,243,Algún campo sin dato,1,1e1cdc9b59573bbc82f7ed2782431e49fa55ce973fcc6567e23f9682548642c1,26/06/2023 01:26:13,ESCANER
