TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
91,91,100.0000,91,100.0000,0,34321,23236,67.7019

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,VAMOS,AZUL,MLP,PODEMOS,TODOS,VIVA,VALOR,PHG,UNE,PPN,CAMBIO,UNIONISTA,VOS,URNG-MAIZ WINAQ,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6411,"Chimaltenango",3,"Patzún",7,679,400,98,41,11,5,5,6,10,3,0,56,2,3,11,13,28,292,10,3,305,95,400,0,400,95,292,305,400,,1,e2234cb23167ac93d82201261aaf83589efe19a8ea27fd76f913133b4df62379,25/06/2023 23:01:43,ESCANER
6412,"Chimaltenango",3,"Patzún",7,679,400,101,43,3,10,9,13,8,4,2,34,3,0,18,7,22,277,14,5,296,0,296,--,400,104,277,296,296,Algún campo sin dato,1,ab6a7bf522b5ee8b9f3adda9766df5f76a2082644c99580c1c0993b6590b8fe9,25/06/2023 23:38:05,ESCANER
6413,"Chimaltenango",3,"Patzún",7,679,400,104,39,5,5,5,7,20,4,0,38,1,2,13,8,19,270,12,3,285,0,285,0,400,115,270,285,285,,1,72bd44478dd02bc5e182345630fb331ae5f09f2202f9a620e98c8a6e9e042d77,25/06/2023 23:03:40,ESCANER
6414,"Chimaltenango",3,"Patzún",7,679,400,100,43,11,18,8,9,11,4,5,39,2,5,12,8,22,297,4,2,303,0,303,0,400,97,297,303,303,,1,09070e8fbc4b33f4855e7e2399fb6a7b4d4ca5bee3d79ea1344d49b399ea3b8e,25/06/2023 23:14:12,ESCANER
6415,"Chimaltenango",3,"Patzún",7,679,400,83,43,5,8,10,8,6,2,1,54,2,1,15,9,27,274,4,6,284,0,284,--,400,116,274,284,284,Algún campo sin dato,1,8906bbe96ace12febce8e7fdd5029ed55a2fc054f8d1c7cc9fdbfb31602303f6,26/06/2023 00:04:38,ESCANER
6416,"Chimaltenango",3,"Patzún",7,679,400,84,37,13,9,6,8,12,6,4,38,1,4,22,8,19,271,8,4,283,0,283,--,400,117,271,283,283,Algún campo sin dato,1,bab3fc72f59404088c5801284bbda3001016029f68e1a8b115750e7d526afa42,25/06/2023 22:32:50,ESCANER
6417,"Chimaltenango",3,"Patzún",7,679,400,92,45,9,3,7,7,16,3,0,35,1,1,9,14,16,258,11,3,272,0,272,0,400,128,258,272,272,,1,629ccc1563abba16cfc0535225af37314d10c1a3500abc5945b3721361f8d156,25/06/2023 23:47:19,ESCANER
6418,"Chimaltenango",3,"Patzún",7,679,400,87,42,4,4,13,8,11,2,0,48,0,2,15,7,28,271,13,2,286,0,286,0,368,82,271,286,286,,1,83036bd745b650cd0c847e3fe24ed87da06bb343d3e3ac87fec29145b71aa90e,25/06/2023 22:39:23,ESCANER
6419,"Chimaltenango",3,"Patzún",7,680,400,69,27,4,10,12,4,15,8,1,46,3,2,17,8,24,250,8,2,260,0,260,--,399,139,250,260,260,Algún campo sin dato,1,5cdcec800544e94ad697efdbb562d6ca78ab7a35cef23e54b6c1ab711de814bc,25/06/2023 23:36:11,ESCANER
6420,"Chimaltenango",3,"Patzún",7,680,400,87,38,9,15,6,11,10,5,3,32,2,5,17,8,29,277,4,0,281,0,281,0,400,119,277,281,281,,1,23a3977e9d867e4007e125ed5133454df704af1770888efe3db9fd968205a448,26/06/2023 00:08:24,ESCANER
