TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
48,48,100.0000,48,100.0000,0,18000,10841,60.2277

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,MLP,TODOS,UNE,C.S.S.,UR,AZUL,VICTORIA,WINAQ,PODEMOS,VIVA,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
5589,"Sacatepéquez",2,"Santiago Sacatepéquez",6,571,400,20,40,2,75,5,52,3,9,5,1,7,16,1,236,6,1,243,0,243,0,400,157,236,243,243,,1,37a796af6c6eccd935c055d00f635c4af330ffb17143c491aa6c786173478d48,26/06/2023 00:13:10,ESCANER
5590,"Sacatepéquez",2,"Santiago Sacatepéquez",6,571,400,16,38,8,72,4,62,2,3,7,2,9,11,0,234,3,0,237,0,237,0,400,163,234,237,237,,1,8b1963709f1bb22539abafc38cbeedca0e07117613bfb7019fd08810249bedf0,25/06/2023 23:06:57,ESCANER
5591,"Sacatepéquez",2,"Santiago Sacatepéquez",6,571,400,16,42,8,58,5,62,8,9,3,2,2,9,0,224,3,0,227,173,400,0,400,173,224,227,400,,1,ef0d8268ed2a609660ca53ca95df23d9d703383e1b858ed856c10442fb87f58a,26/06/2023 00:46:29,ESCANER
5592,"Sacatepéquez",2,"Santiago Sacatepéquez",6,572,400,18,46,7,73,5,68,8,5,6,6,5,11,0,258,6,0,264,0,264,0,400,136,258,264,264,,1,931e3f31542327d3eb4e88645ff6aba8df7e6ff086a014e88b142aafff83d0c9,26/06/2023 00:54:35,ESCANER
5593,"Sacatepéquez",2,"Santiago Sacatepéquez",6,572,400,19,32,5,62,7,63,8,4,10,5,7,19,0,241,4,2,247,0,247,0,400,153,241,247,247,,1,96a9711bc5955aaed78bd90664714d56ff1737d5030f4b5a1b914694e2896cfd,26/06/2023 01:06:03,ESCANER
5594,"Sacatepéquez",2,"Santiago Sacatepéquez",6,573,400,19,40,4,54,5,65,8,11,17,4,2,15,0,244,13,0,257,0,257,--,400,143,244,257,257,Algún campo sin dato,1,013e20dd204b5bc9215eaf31d5a204a5a8ed027f117785a32e80a9966651ad28,25/06/2023 22:37:28,ESCANER
5595,"Sacatepéquez",2,"Santiago Sacatepéquez",6,573,400,9,38,3,52,2,68,6,4,5,2,4,11,0,204,4,1,209,5,214,--,400,186,204,209,214,Algún campo sin dato,1,69bb03162a10041b1656b4e4eb5d28186f2f33ba50c2a96609196b59b07bcf9b,25/06/2023 23:35:52,ESCANER
5596,"Sacatepéquez",2,"Santiago Sacatepéquez",6,573,400,17,38,4,59,4,54,6,9,9,2,4,13,0,219,10,0,229,0,229,0,400,171,219,229,229,,1,aabab9c2d12c996ac37e77502d2928756996946d03b6e963e71af3a47e3bc19f,26/06/2023 00:14:24,ESCANER
5597,"Sacatepéquez",2,"Santiago Sacatepéquez",6,573,400,10,28,2,60,6,54,5,7,4,3,2,13,0,194,7,1,202,0,202,1,397,194,194,202,202,,1,e84f1a489b593c9ab106a14db7244a5d10da1b01d078af8b2aa9697c0b1f81cd,26/06/2023 00:35:56,ESCANER
5598,"Sacatepéquez",2,"Santiago Sacatepéquez",6,574,400,7,33,3,56,7,70,16,8,11,2,1,12,1,227,5,2,234,0,234,0,400,166,227,234,234,,1,1b54639d77e6a4e9026fe4c0a978e193b37e83ed09f738e56637065baee3247c,25/06/2023 23:55:08,ESCANER
5599,"Sacatepéquez",2,"Santiago Sacatepéquez",6,574,400,14,38,5,49,4,73,4,3,4,2,3,9,0,208,2,0,210,0,210,0,396,187,208,210,210,,1,860dc7976f1d765cf26e18f898f6c3ae4359d4452b85fcf0b30f724cbcf3da3f,25/06/2023 23:38:53,ESCANER
5600,"Sacatepéquez",2,"Santiago Sacatepéquez",6,574,400,9,22,4,60,2,81,5,2,5,3,7,8,0,208,3,0,211,0,211,0,400,186,208,211,211,,1,6fa2988d798d52bdc704fb5b6946d08fe6d22b3a3f6cc78ada44f4c6d2541a28,26/06/2023 00:50:52,ESCANER
5601,"Sacatepéquez",2,"Santiago Sacatepéquez",6,574,400,13,25,7,52,3,81,3,7,3,5,3,7,0,209,6,0,215,0,215,0,400,185,209,215,215,,1,0956f0cd56964d1b6ca00464f5f0e817b476e8a67e89cb8336160851ed8146be,25/06/2023 23:19:01,ESCANER
5602,"Sacatepéquez",2,"Santiago Sacatepéquez",6,575,400,11,40,6,57,4,67,7,6,10,0,6,13,0,227,3,1,231,0,231,0,400,169,227,231,231,,1,a7858857d563550015beaf79e01a83b831993b2a86fd6c24bb08b3fa50d40759,26/06/2023 00:57:42,ESCANER
5603,"Sacatepéquez",2,"Santiago Sacatepéquez",6,575,338,4,33,4,50,6,45,9,3,6,0,5,13,1,179,1,0,180,0,180,0,338,158,179,180,180,,1,284f5b1948ad6cc94110a6f1e426b599f2197a5c6f5a2d21f03e8751745541aa,25/06/2023 23:25:25,ESCANER
5604,"Sacatepéquez",2,"Santiago Sacatepéquez",6,575,337,10,35,2,53,6,47,4,3,10,3,5,6,0,184,0,0,184,0,184,0,337,153,184,184,184,,1,89d5e38e829d30d14a7846c061a2ff2150be790a7008a36a7979dfa89447c7e5,26/06/2023 02:16:13,ESCANER
5605,"Sacatepéquez",2,"Santiago Sacatepéquez",6,576,400,31,28,3,63,9,93,4,2,1,2,2,23,3,264,15,5,284,0,284,0,400,116,264,284,284,,1,91f1fcad7a0828faba12e9dc497096ece061fbec3878644c8dddf69c4d49aebb,25/06/2023 21:56:23,ESCANER
