TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
89,89,100.0000,89,100.0000,0,34018,18159,53.3805

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CAMBIO,UNE,VIVA,CABAL,MLP,VAMOS,PODEMOS,WINAQ,BIEN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21117,"Petén",17,"Poptún",12,3283,380,3,144,2,1,0,17,0,2,0,32,201,13,8,222,0,222,--,380,158,201,222,222,Algún campo sin dato,1,8582473d2259937bbfb84b15fd7d50f617a578f62b72221fedbef57e48f88695,26/06/2023 02:37:28,ESCANER
21118,"Petén",17,"Poptún",12,3283,380,0,142,6,6,1,10,0,0,2,20,187,17,5,209,0,209,--,380,171,187,209,209,Algún campo sin dato,1,b0cfa2c70e010729919c6fbc10f72957bf2f8e6d1d3661ce17cf4be7cbaeb73a,26/06/2023 01:35:22,ESCANER
21119,"Petén",17,"Poptún",12,3283,380,2,138,1,4,0,23,0,0,0,25,193,17,7,217,0,217,--,380,163,193,217,217,Algún campo sin dato,1,6db6e81dfacf3c119ab9897998af9306ac8f959df10cbed5c846fbdbfffd3c34,26/06/2023 02:44:00,ESCANER
21120,"Petén",17,"Poptún",12,3283,270,1,106,3,4,0,9,0,3,1,13,140,4,1,145,0,145,--,270,125,140,145,145,Algún campo sin dato,1,aaa285e0dc363286a2ddb5e55b61115be3b96f28e8656f4547a8242ad341cf91,26/06/2023 02:52:15,ESCANER
21121,"Petén",17,"Poptún",12,3283,269,0,91,1,3,1,8,0,0,0,17,121,6,0,127,0,127,--,269,142,121,127,127,Algún campo sin dato,1,17a9ef44770eb145acc3486c65d9d0b3990e35913d4c1905ff1d00c125bc40e5,26/06/2023 03:09:59,ESCANER
21122,"Petén",17,"Poptún",12,3284,380,0,148,4,1,1,10,0,0,3,15,182,12,2,196,0,196,--,380,184,182,196,196,Algún campo sin dato,1,827d2f124c5001e6f741cec7c9118b0826304d84c98f22b79642028266d32a10,26/06/2023 03:44:44,ESCANER
21123,"Petén",17,"Poptún",12,3284,380,2,187,4,3,1,11,0,0,5,14,227,9,3,239,0,239,--,380,141,227,239,239,Algún campo sin dato,1,3f3d2076db92e536276e50825a27882ceaac6ec6a0fad51434fd846dd0744fde,26/06/2023 03:59:49,ESCANER
21124,"Petén",17,"Poptún",12,3284,380,0,115,4,3,0,18,0,1,3,22,166,14,9,189,0,189,--,377,188,166,189,189,Algún campo sin dato,1,e6cf2b9cd3e6a4fd390a7d5167edbcd39e8a046866ef1f2c70af8585871152d4,26/06/2023 04:14:41,ESCANER
21125,"Petén",17,"Poptún",12,3284,359,0,123,1,1,0,9,1,0,3,14,152,11,3,166,0,166,--,359,193,152,166,166,Algún campo sin dato,1,8abe2ec5b8dc9979522f7c32200ff4130a8dcba02b3aa3d589a74ce0b987b242,26/06/2023 04:34:59,ESCANER
21126,"Petén",17,"Poptún",12,3284,359,2,136,3,5,0,4,0,2,0,8,160,2,2,164,0,164,--,359,195,160,164,164,Algún campo sin dato,1,24865eb1a2a0180a89677541b2d51fcf1d6a102b1d9e6121b9af2931a133af39,26/06/2023 04:42:49,ESCANER
21127,"Petén",17,"Poptún",12,3285,380,10,157,9,5,2,19,0,3,1,21,227,8,2,237,0,237,--,380,143,227,237,237,Algún campo sin dato,1,1f76b37ded7c982b268bd130b04f43fb78849267ef3d07b1c71e44abb3811091,26/06/2023 03:37:23,ESCANER
21128,"Petén",17,"Poptún",12,3285,380,3,162,7,6,0,16,0,1,1,15,211,13,2,226,0,226,--,380,154,211,226,226,Algún campo sin dato,1,31085a0f1f99c95c3d56b5ec556eb7d08734c923ce103d22c4256732fbbf18b8,26/06/2023 03:45:01,ESCANER
21129,"Petén",17,"Poptún",12,3285,380,7,166,4,4,1,13,1,0,3,19,218,13,1,232,0,232,--,380,148,218,232,232,Algún campo sin dato,1,199b382099e48d11a4db54be8f76204cec09ba94bd420e2634fd075b28bda5b9,26/06/2023 03:49:51,ESCANER
21130,"Petén",17,"Poptún",12,3285,380,5,145,4,9,0,9,0,0,0,11,183,24,4,211,0,211,--,380,169,183,211,211,Algún campo sin dato,1,34bde056a654a08cd172950bd74db44fda734b93d049cd838bd2be402201712f,26/06/2023 03:58:07,ESCANER
21131,"Petén",17,"Poptún",12,3285,380,4,120,4,5,0,4,0,0,1,9,147,9,5,161,0,161,--,380,219,147,161,161,Algún campo sin dato,1,43945ba7d6df81899f5e549901679345741eac9ef1d950243dfdff302adc593f,26/06/2023 04:03:42,ESCANER
21132,"Petén",17,"Poptún",12,3285,319,4,98,4,3,0,5,0,0,0,21,140,4,1,140,0,140,--,319,179,135,140,140,Sumas Asentadas sin cuadrar,1,31e733320986909e1ef29f3a25169f8935d7b73c08b33a8a58e36dc3bb1497f3,26/06/2023 04:11:34,ESCANER
21133,"Petén",17,"Poptún",12,3285,319,2,113,5,2,1,3,0,0,0,10,136,10,0,146,0,146,--,319,173,136,146,146,Algún campo sin dato,1,ad56284dc2e4de65791aa83f72c1f66092392af7d18805598bc4865e2186b81a,26/06/2023 04:16:14,ESCANER
21134,"Petén",17,"Poptún",12,3286,380,1,142,1,3,0,5,0,0,3,46,201,2,7,210,0,210,--,380,170,201,210,210,Algún campo sin dato,1,8f73ed43783ff0be038359fd403f38a3af6f85efbcd1679968a947795e602f9f,26/06/2023 03:58:55,ESCANER
21135,"Petén",17,"Poptún",12,3287,380,2,147,1,6,2,2,0,0,1,44,205,13,7,225,0,225,--,380,155,205,225,225,Algún campo sin dato,1,3d417eab34ae376e902a63c2ec85d586f9b1bbea8cd4d4b45abaeb46f6743b6f,26/06/2023 03:48:06,ESCANER
21136,"Petén",17,"Poptún",12,3287,304,1,85,1,3,0,5,0,0,0,28,123,4,2,129,0,129,--,304,175,123,129,129,Algún campo sin dato,1,9bdf43321bd88b7c4ecd11c5641bd864d3dbaadba3c8ef8ac5134c6250be93f5,26/06/2023 03:59:13,ESCANER
21137,"Petén",17,"Poptún",12,3287,303,0,99,1,1,1,4,0,0,3,28,137,9,4,150,0,150,--,303,153,137,150,150,Algún campo sin dato,1,23c65f4d0c1508cf96726cfb1dbf0f788a9b71b47704f8b8b24d56d46fb64697,26/06/2023 04:09:53,ESCANER
21138,"Petén",17,"Poptún",12,3288,600,6,76,8,12,0,32,2,2,3,14,155,17,2,174,0,174,--,600,426,155,174,174,Algún campo sin dato,1,f9100fd5ce554ab99c6081976e40eb09a845cadf2e88fd12d40a88f69a592e76,25/06/2023 23:00:58,ESCANER
21139,"Petén",17,"Poptún",12,3288,503,6,70,9,13,0,42,0,0,7,18,165,9,3,177,0,177,--,503,326,165,177,177,Algún campo sin dato,1,3874d03309a97c39843f10c4af246347dabf9d9a9f970865abeca7f68d304760,26/06/2023 00:58:50,ESCANER
21140,"Petén",17,"Poptún",12,3288,502,4,20,3,9,0,17,1,0,1,7,62,2,4,68,0,68,--,502,434,62,68,68,Algún campo sin dato,1,79d701e20f25291dba50f5c9232e7cb8848e62d05842cf0e8b6a6b14b2bdebd3,25/06/2023 23:17:12,ESCANER
