TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
63,63,100.0000,63,100.0000,0,23367,12448,53.2717

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,UNE,CABAL,VAMOS,MLP,UR,VALOR,PHG,CAMBIO,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23532,"Jalapa",21,"Mataquescuintla",7,3695,400,13,80,71,54,2,0,2,4,0,2,228,2,0,230,0,230,--,400,170,228,230,230,Algún campo sin dato,1,a1978fa80719a1a1255993fb6bd49bb2e9cbc8fa017e8e8360034ee9683d6a49,25/06/2023 23:48:09,ESCANER
23533,"Jalapa",21,"Mataquescuintla",7,3695,267,6,46,39,23,1,1,2,1,1,0,120,2,1,123,0,123,--,267,144,120,123,123,Algún campo sin dato,1,9eba46476d619b966ca9e97e9f459a996e405870880be87d154d566edd6adfb8,25/06/2023 21:14:32,ESCANER
23534,"Jalapa",21,"Mataquescuintla",7,3695,267,6,49,27,21,2,3,3,0,0,0,111,5,2,118,0,118,--,264,146,111,118,118,Algún campo sin dato,1,c0afa8f2923b01407952673f9cdbc8a1e0c75d07c29a8129ca1b7f615a4a0c9a,25/06/2023 23:34:05,ESCANER
23535,"Jalapa",21,"Mataquescuintla",7,3696,380,1,130,43,20,4,0,1,2,0,0,201,15,2,218,0,218,--,380,162,201,218,218,Algún campo sin dato,1,8bf07ac1bc4cdee2c47153ccf7ecf1293f2259952d0c419df05596d9b8228338,26/06/2023 00:19:49,ESCANER
23536,"Jalapa",21,"Mataquescuintla",7,3696,380,3,109,55,27,11,1,2,1,1,0,210,8,4,222,0,222,--,379,157,210,222,222,Algún campo sin dato,1,2866fc93453d530f7d041bc16ae572f43794eb1be796503871eb3b2713722f02,25/06/2023 22:14:02,ESCANER
23537,"Jalapa",21,"Mataquescuintla",7,3696,380,6,144,32,20,24,0,3,3,1,0,233,9,4,246,0,246,--,376,130,233,246,246,Algún campo sin dato,1,099aad3dfafb75d9a7bc8a7443809fdb7e4201e39c0e30b6682f738688e1b32a,25/06/2023 22:36:14,ESCANER
23538,"Jalapa",21,"Mataquescuintla",7,3696,380,3,127,38,16,6,3,5,0,1,1,200,12,9,221,0,221,--,377,156,200,221,221,Algún campo sin dato,1,1d978f1d0f55d1fd6dada552f92035f4565b61aaf9f7ffb7e199acdaef78bbff,25/06/2023 23:07:28,ESCANER
23539,"Jalapa",21,"Mataquescuintla",7,3696,380,2,111,47,12,6,3,4,2,1,1,189,4,7,200,0,200,--,380,180,189,200,200,Algún campo sin dato,1,b2c0f9446fdd9926862ef1769525c68cb4cac73c3707e67ddd75b724031c3510,25/06/2023 23:20:29,ESCANER
23540,"Jalapa",21,"Mataquescuintla",7,3697,380,5,103,28,15,7,2,4,1,0,1,175,8,1,175,0,175,--,380,205,166,175,175,Sumas Asentadas sin cuadrar,1,e8a95f34f23fa98c9206907c62aee5f5b599c9ccb31989c94b7c320164be0911,25/06/2023 23:01:46,ESCANER
23541,"Jalapa",21,"Mataquescuintla",7,3697,380,2,91,31,15,9,1,2,--,--,--,151,12,5,168,0,168,--,380,212,151,168,168,Algún campo sin dato,1,dd978260a462e7b85b0a2d8342a2b6970ad2969d7a204baf8777d01baef2ccbf,25/06/2023 22:29:53,ESCANER
23542,"Jalapa",21,"Mataquescuintla",7,3697,208,3,38,24,15,4,0,5,0,1,0,90,0,2,92,0,92,--,208,116,90,92,92,Algún campo sin dato,1,393f7319a16efa2d5872d7cea6808fa2a85a0db7e2551ab160bb32a30306f1e2,25/06/2023 21:38:06,ESCANER
23543,"Jalapa",21,"Mataquescuintla",7,3697,207,3,36,11,6,7,0,1,0,0,1,65,1,1,67,0,67,--,204,137,65,67,67,Algún campo sin dato,1,b454c0a02dd8f3369bc60e63536187b44191d216ba8060fff9179bedce341293,25/06/2023 23:12:08,ESCANER
23544,"Jalapa",21,"Mataquescuintla",7,3698,380,18,43,44,32,2,3,4,1,0,0,147,1,5,153,10,163,--,380,217,147,153,163,Algún campo sin dato,1,6ef7f50e0e93dfd1d3437f72ac80016ebe29f61f9c936e39142733a6ced7a5c6,26/06/2023 00:24:33,ESCANER
23545,"Jalapa",21,"Mataquescuintla",7,3698,380,21,63,46,26,0,2,1,3,0,0,162,16,2,180,0,180,--,378,198,162,180,180,Algún campo sin dato,1,2a6d072a5c7169561b11b72da9c5ff849371389e8bd805620bd6a89ca00cfff8,26/06/2023 00:18:12,ESCANER
23546,"Jalapa",21,"Mataquescuintla",7,3698,380,8,83,42,32,1,0,1,0,0,1,168,15,2,185,0,185,--,380,195,168,185,185,Algún campo sin dato,1,b438b70df3d4b69ac7b7ba7a0d4f052bba01e587979d61199131cb23e6f4c76c,25/06/2023 23:24:33,ESCANER
23547,"Jalapa",21,"Mataquescuintla",7,3698,380,11,39,58,30,1,4,4,4,4,0,155,10,8,173,0,173,--,380,207,155,173,173,Algún campo sin dato,1,158c10fd5505b05f9e3d2cb7a63436ddf6236e59e52027df82ebaf7cdf4a5356,26/06/2023 00:47:37,ESCANER
23548,"Jalapa",21,"Mataquescuintla",7,3698,380,9,53,43,25,0,4,5,3,0,0,142,9,1,152,--,--,--,380,228,142,152,152,Algún campo sin dato,1,16828e21e275e1426cca64482434b51ca776240f8cf949587b21792916399fe0,25/06/2023 23:50:31,ESCANER
23549,"Jalapa",21,"Mataquescuintla",7,3698,380,9,37,43,17,0,1,1,3,2,0,113,5,0,118,0,118,--,380,262,113,118,118,Algún campo sin dato,1,4571d1425d2d6383c144f109cef54260627c41eedb4b7ba48a9d137ef90d7419,25/06/2023 23:45:55,ESCANER
23550,"Jalapa",21,"Mataquescuintla",7,3698,199,5,30,25,12,0,2,0,0,0,0,74,1,2,77,0,77,--,199,122,74,77,77,Algún campo sin dato,1,db87d10ae44fb47594e1703f7f9ff9b41675748cd058b6fcbad09171bc48a3e3,25/06/2023 21:50:24,ESCANER
23551,"Jalapa",21,"Mataquescuintla",7,3698,199,2,35,17,10,0,1,4,0,0,0,69,2,0,71,0,71,--,199,128,69,71,71,Algún campo sin dato,1,1dddd5030390d02deb6c3846d7b14a51834c5647aee15a5e0a162d8a1023cad3,25/06/2023 22:03:31,ESCANER
23552,"Jalapa",21,"Mataquescuintla",7,3699,380,8,86,62,19,2,4,5,5,0,2,193,16,5,214,0,214,--,380,166,193,214,214,Algún campo sin dato,1,8254a31bda9c093476c9feccc345f56870a9e644e9c5b96186aca9f8915a6061,25/06/2023 23:09:15,ESCANER
23553,"Jalapa",21,"Mataquescuintla",7,3699,380,7,137,50,29,1,10,5,5,1,0,245,17,6,268,0,268,--,380,112,245,268,268,Algún campo sin dato,1,be4d29631c84bc162d1c281cf311b9b422576e5a7a6dffd8738e915f784b4da1,25/06/2023 23:44:00,ESCANER
23554,"Jalapa",21,"Mataquescuintla",7,3699,380,4,110,44,28,0,1,13,1,1,0,202,18,5,225,0,225,--,380,155,202,225,225,Algún campo sin dato,1,3fa0de03abddf4831eb01642ddd620b9f7f9356912b1c47c2d0286388db35b43,25/06/2023 23:15:02,ESCANER
23555,"Jalapa",21,"Mataquescuintla",7,3699,380,8,84,44,27,1,2,6,7,0,2,181,7,2,190,0,190,0,380,190,181,190,190,,1,9b45656d95cb52ce34e9ad33883af69e452d02016c8e413c6d6885267532c3a1,25/06/2023 23:23:19,ESCANER
23556,"Jalapa",21,"Mataquescuintla",7,3699,380,11,67,47,26,0,2,0,2,0,0,155,8,4,167,0,167,--,379,213,155,167,167,Algún campo sin dato,1,7a9806f3a31195d273754e1bf3fba657605df30a36fc29c37b23a2b5d4d9802e,25/06/2023 22:29:28,ESCANER
23557,"Jalapa",21,"Mataquescuintla",7,3699,214,9,34,22,13,0,4,2,2,1,0,87,3,1,91,0,91,--,214,123,87,91,91,Algún campo sin dato,1,9a3952da0c562266c6a8bd24e849dbb48e92b935c2774e6efbb70c93fc8a633d,25/06/2023 21:41:43,ESCANER
23558,"Jalapa",21,"Mataquescuintla",7,3699,214,5,20,23,10,0,1,4,0,0,0,63,0,1,64,0,64,--,214,150,63,64,64,Algún campo sin dato,1,31f0c82937629f406f2da5e0619d8eadbc47e4901b0b8f65783c2ff2999b08f2,25/06/2023 21:25:44,ESCANER
23559,"Jalapa",21,"Mataquescuintla",7,3700,380,6,36,91,9,0,10,9,2,6,1,170,30,9,209,0,209,--,380,171,170,209,209,Algún campo sin dato,1,983ac8ce7789059756ae7784115493c8fd22102d09bccbb18f29dc14d70574db,26/06/2023 01:03:01,ESCANER
23560,"Jalapa",21,"Mataquescuintla",7,3700,380,3,59,58,10,3,5,14,1,1,0,154,19,6,179,0,179,--,380,201,154,179,179,Algún campo sin dato,1,39ac25a9d5972281d4aa1f5c0b18a27bca39de1561eab8331794d080bbdaeeab,25/06/2023 23:53:21,ESCANER
23561,"Jalapa",21,"Mataquescuintla",7,3700,329,2,30,70,3,1,4,24,2,8,0,144,6,2,152,0,152,--,329,177,144,152,152,Algún campo sin dato,1,22597db3615e37c93100aa2166464fbb34d550567a8252efbab7280b20369fed,26/06/2023 01:09:41,ESCANER
23562,"Jalapa",21,"Mataquescuintla",7,3700,329,2,37,55,4,1,3,5,1,2,0,120,7,3,120,0,120,--,329,209,110,120,120,Sumas Asentadas sin cuadrar,1,6664d81dcaa8689139d38df1a1857ac62cb8aaf7406274c5a22dc54c4eff1dff,25/06/2023 23:17:15,ESCANER
23563,"Jalapa",21,"Mataquescuintla",7,3701,592,21,68,56,22,0,0,7,4,0,0,178,12,6,196,--,196,--,592,396,178,196,196,Algún campo sin dato,1,46997c68b77b62f6c2ec077dd1b1b4b201d04d97d11410cd4c97c627988ee506,25/06/2023 23:14:53,ESCANER
23564,"Jalapa",21,"Mataquescuintla",7,3701,591,10,47,35,31,3,0,4,4,0,0,134,3,0,137,0,137,--,588,451,134,137,137,Algún campo sin dato,1,7937bedd8053cbf8eced944969c713a748c1fd41fd5c2327a5ab842bffa6e53a,26/06/2023 01:18:35,ESCANER
