TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
58,58,100.0000,58,100.0000,0,22003,12952,58.8647

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,BIEN,VAMOS,U R N G - MAIZ,SEMILLA,ELEFANTE,VIVA,UNE,VALOR,PHG,CAMBIO,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
15318,"Huehuetenango",13,"San Pedro Necta",6,2224,400,71,135,0,0,0,2,17,17,0,0,242,24,6,272,0,272,--,400,128,242,272,272,Algún campo sin dato,1,766cd5c3f65431ef52c4ce0f68b668ee19c0a5381f2af474e53cb335e3f9dd3c,25/06/2023 22:37:35,ESCANER
15319,"Huehuetenango",13,"San Pedro Necta",6,2225,400,89,111,1,0,0,1,18,27,0,0,247,10,3,260,0,260,--,400,140,247,260,260,Algún campo sin dato,1,463756aafd40b00db82b7a2a5e177a7cd0cd944f73200ffdf1f68bcf476af701,25/06/2023 23:41:44,ESCANER
15320,"Huehuetenango",13,"San Pedro Necta",6,2225,224,27,39,0,0,0,0,12,16,0,0,94,3,1,98,0,98,0,223,125,94,98,98,,1,677ba99b96387718886d8194911685fa5d203b5e326868608a5be0f612e5a89a,25/06/2023 22:33:16,ESCANER
15321,"Huehuetenango",13,"San Pedro Necta",6,2225,223,37,45,0,0,0,0,4,9,0,0,95,0,1,96,0,96,--,224,128,95,96,96,Algún campo sin dato,1,52e425c97c381f12edc70c63fff053c13f0fa1e7e1d768429a4f940a5fc21789,25/06/2023 22:38:57,ESCANER
15322,"Huehuetenango",13,"San Pedro Necta",6,2226,400,107,52,1,1,2,2,12,18,1,0,196,14,8,218,0,218,--,400,182,196,218,218,Algún campo sin dato,1,45684beddfcdd066877ff7eb32caa931d84142792e3978f82b81ba3adda040a5,25/06/2023 23:18:48,ESCANER
15323,"Huehuetenango",13,"San Pedro Necta",6,2226,400,126,86,0,3,7,2,4,14,1,0,243,16,5,264,0,264,--,400,136,243,264,264,Algún campo sin dato,1,036076e821a03527da9410935978e7a27abb07e6e42d46eab3ee867fddd5eb66,26/06/2023 00:17:15,ESCANER
15324,"Huehuetenango",13,"San Pedro Necta",6,2226,400,134,60,0,1,7,2,6,15,0,0,225,9,6,240,0,240,--,398,158,225,240,240,Algún campo sin dato,1,7d6f566c4ce531ee1a638b204f46fc8a95884b0d06e4b2ca749fc2a4772de229,25/06/2023 23:29:08,ESCANER
15325,"Huehuetenango",13,"San Pedro Necta",6,2226,400,131,60,1,0,1,2,8,11,1,2,217,17,6,240,0,240,--,400,160,217,240,240,Algún campo sin dato,1,56cfd8969873e0962834b1506f2ea660f84c57103465fa251acf79286a424edf,25/06/2023 23:00:44,ESCANER
15326,"Huehuetenango",13,"San Pedro Necta",6,2227,400,124,62,3,0,2,2,6,6,0,0,205,13,5,223,0,223,--,400,177,205,223,223,Algún campo sin dato,1,d14af1e1c9f477af7e996e159d73da7c2f7d69c45f4f8bcba626b48373f6b9ca,26/06/2023 01:31:09,ESCANER
15327,"Huehuetenango",13,"San Pedro Necta",6,2228,400,122,94,3,0,1,0,9,30,0,0,259,11,6,276,0,276,--,400,124,259,276,276,Algún campo sin dato,1,31db44f0a2bc62037dbbef6a8393f447136ce1cd5bc677240add2a885c979533,26/06/2023 00:26:32,ESCANER
15328,"Huehuetenango",13,"San Pedro Necta",6,2229,400,105,79,0,1,4,0,7,9,1,0,206,10,2,218,0,--,--,401,183,206,218,218,Algún campo sin dato,1,67496a0f8e6f9c3d8e371922fa3a67be91c5a06ca1a6fb3812243d7fc07e6742,25/06/2023 23:38:37,ESCANER
15329,"Huehuetenango",13,"San Pedro Necta",6,2229,400,82,57,0,0,2,0,5,11,2,1,160,5,4,169,0,169,--,400,231,160,169,169,Algún campo sin dato,1,a50a20a043a8bc9478b1da8c1064d8c4c3cb363d663bc6f088fc10dd62d66f89,26/06/2023 00:11:44,ESCANER
