TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
41,41,100.0000,41,100.0000,0,15844,11734,74.0595

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,AZUL,PODEMOS,TODOS,VIVA,PPN,CAMBIO,UNE,VALOR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11924,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,99,4,18,7,4,178,2,0,1,313,21,3,337,0,337,--,400,63,313,337,337,Algún campo sin dato,1,e69dbf17804474862ab3b5d2c01dc5d0fdd487cbfdc2190cf280bc4964022dad,26/06/2023 01:43:21,ESCANER
11925,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,99,2,13,8,1,185,1,3,2,314,21,1,336,0,336,1,400,63,314,336,336,,1,ba608c95dd8a2537bdb1c810f4bba7a927cbd4448674ab9393c1459e11f75edc,26/06/2023 01:47:15,ESCANER
11926,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,97,1,22,11,11,183,1,4,1,322,20,2,344,0,344,--,400,56,331,353,353,Sumas Asentadas sin cuadrar,1,054f53eb6b24c508b93c7297a491fe3bc37753f2647a563237c646d129c39e6b,26/06/2023 12:10:50,ESCANER
11927,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,121,1,17,11,2,166,0,1,0,319,18,2,339,0,339,--,400,61,319,339,339,Algún campo sin dato,1,b56f515a9039282909f47f0e4f7d40e5259fe701f42fddd514a727905cd1a2bb,26/06/2023 02:03:48,ESCANER
11928,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,81,1,14,11,0,189,0,2,1,299,24,4,327,0,327,--,400,73,299,327,327,Algún campo sin dato,1,48f2ac464e2ef4830391ccd0c06a75f21c72488a17a95cba568ed9f82642df79,26/06/2023 04:52:44,ESCANER
11929,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,87,1,17,9,3,162,3,1,0,283,15,1,299,0,299,--,400,101,283,299,299,Algún campo sin dato,1,52fa596d2a92ec8cf7e8c6358d467abc0b7356ed4f644eca7b42158746617323,26/06/2023 00:51:46,ESCANER
11930,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,78,0,19,8,0,162,2,1,1,271,5,1,277,0,277,--,400,123,271,277,277,Algún campo sin dato,1,63a11946ce3bb604472648a266d1549576c9da39ec826ae825105e18b66f6449,26/06/2023 02:10:17,ESCANER
11931,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,400,91,2,21,10,1,158,0,2,2,287,11,1,299,0,299,--,400,101,287,299,299,Algún campo sin dato,1,dd7b579083c97f471489bcdaa9c5892c027077efff2136044b61b4ce986f9482,25/06/2023 23:48:46,ESCANER
11932,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,400,75,1,18,7,1,164,1,0,0,267,6,1,274,0,274,--,400,126,267,274,274,Algún campo sin dato,1,36e45d404d5061647cdc500cc52e283376dbb0f73fce17373bed87be60a8731b,26/06/2023 01:25:39,ESCANER
11933,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,400,72,1,25,6,1,180,0,0,2,287,3,0,290,0,290,--,400,110,287,290,290,Algún campo sin dato,1,d7c5255bfd7922904bd116fd090af19bc9cb5cf03afe095156136ed9a1a1bc55,26/06/2023 00:24:35,ESCANER
11934,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,392,96,1,19,9,1,156,2,0,0,284,0,0,284,0,284,--,392,108,284,284,284,Algún campo sin dato,1,7d431dd76626cd0ce9e16390550e3cb9ce40637a4afbef422cdf2e641e607dee,26/06/2023 01:14:18,ESCANER
11935,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,391,64,1,20,9,1,158,0,3,1,257,3,1,261,1,262,--,391,129,257,261,262,Algún campo sin dato,1,28875da29b5e1716ed38600c25bd54d09332b11b1c856282c0820433f0a2b332,26/06/2023 01:32:56,ESCANER
11936,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1607,340,51,0,11,14,0,50,0,2,4,132,10,4,146,0,146,--,--,--,132,146,146,Algún campo sin dato,1,ddf83b9c34d1fb26562bd153d8410013b7deb298e5e4b67e8aa565538cedf38d,26/06/2023 00:58:40,ESCANER
11937,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1607,340,33,0,8,7,1,27,1,1,2,80,3,1,84,0,84,--,340,256,80,84,84,Algún campo sin dato,1,b7ac548089d273a5f8cfd11020c71a9ff5a56a79656c8a08b9f6902827f3fb26,26/06/2023 00:02:15,ESCANER
