TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
106,106,100.0000,105,99.0566,1,39107,26983,68.9978

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,TODOS,UNE,VALOR,CABAL,VIVA,UR,ELEFANTE,VOS,MLP,VICTORIA,PODEMOS,PPN,CAMBIO,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
21552,"Izabal",18,"El Estor",3,3344,400,49,8,50,1,91,5,0,0,2,2,0,1,0,5,1,215,16,1,232,0,232,--,400,168,215,232,232,Algún campo sin dato,1,735e7fd3dd7f990fc991ebae28710c430476c2fc01f275312096871694b58f33,25/06/2023 23:09:32,ESCANER
21553,"Izabal",18,"El Estor",3,3344,400,61,1,54,2,61,0,0,0,0,2,0,0,0,3,1,185,7,1,193,--,--,--,400,207,185,193,193,Algún campo sin dato,1,69be9d4566b83dfb23d9723d8422d235b10ada9e233a13fb3be679310f0d43d5,25/06/2023 22:07:47,ESCANER
21554,"Izabal",18,"El Estor",3,3344,400,61,6,70,2,85,2,0,0,1,5,1,0,1,4,1,239,5,0,244,0,244,--,397,153,239,244,244,Algún campo sin dato,1,fb4d8fa9e1438755834755081c11337bc1c5bfa1adce5e379300623e06e3097c,26/06/2023 00:52:19,ESCANER
21555,"Izabal",18,"El Estor",3,3344,400,63,4,78,1,65,5,0,0,1,2,0,0,1,5,1,226,2,1,229,0,229,--,400,171,226,229,229,Algún campo sin dato,1,b8f5d90eea26ad1026ba38e954ae373381b2ee649fb6be77adafcff67ccd5028,26/06/2023 01:09:39,ESCANER
21556,"Izabal",18,"El Estor",3,3344,400,70,1,61,2,77,1,0,1,0,0,0,2,2,3,1,221,7,1,229,0,229,--,400,171,221,229,229,Algún campo sin dato,1,a6f237e245dfd8964dbe2bf502ab6cdb5c13d4c9a113561bb4b5996393a9d8d3,25/06/2023 22:54:23,ESCANER
21557,"Izabal",18,"El Estor",3,3344,400,64,2,66,2,76,0,0,0,0,1,0,0,3,3,3,220,3,2,225,0,225,--,400,175,220,225,225,Algún campo sin dato,1,45d9130b1c2532f756bcea1f07930976f61b9b7e58c88ff7c8ba362b9ede5e6e,25/06/2023 23:34:48,ESCANER
21558,"Izabal",18,"El Estor",3,3345,400,62,3,56,1,70,5,0,0,1,0,0,1,4,2,0,205,5,0,210,0,210,--,400,190,205,210,210,Algún campo sin dato,1,0ccdbd3de54eaae28dd0375f950bdc7c2d0c5ee1dd211a8b9ffd405bcc914071,25/06/2023 22:33:25,ESCANER
21559,"Izabal",18,"El Estor",3,3345,218,30,5,31,3,41,4,0,0,0,1,0,1,0,0,0,116,14,2,132,0,132,--,219,87,116,132,132,Algún campo sin dato,1,86b8e1b117191033f31c815f41c561cb5f04e30d4c2806b0bb460420248662a3,25/06/2023 21:53:06,ESCANER
21560,"Izabal",18,"El Estor",3,3345,218,24,1,38,1,28,2,0,0,0,1,0,0,2,1,0,98,14,2,114,0,114,--,219,105,98,114,114,Algún campo sin dato,1,8d5a84dfc0a36ec0a874cf4c7eda3b71b91506b2dde4ab75d3396cbdf73786db,25/06/2023 23:27:50,ESCANER
21561,"Izabal",18,"El Estor",3,3346,400,98,2,47,4,30,4,0,0,1,6,1,0,6,33,0,232,15,2,249,0,249,--,400,151,232,249,249,Algún campo sin dato,1,93c8a8d0492599790091d4fadf133e80165d4c04ecdc8fbc65425ce73f6f938c,26/06/2023 00:37:54,ESCANER
21562,"Izabal",18,"El Estor",3,3346,400,85,5,40,2,19,2,1,0,1,1,0,0,4,29,1,190,21,8,219,0,0,--,402,183,190,219,219,Algún campo sin dato,1,f1f21954d855315c7c3eec71a59e6b38a948d5970050183626dc0615f924fe18,25/06/2023 23:45:19,ESCANER
21563,"Izabal",18,"El Estor",3,3346,263,43,1,30,0,19,1,0,0,1,2,0,0,0,16,0,113,10,3,126,0,126,--,263,137,113,126,126,Algún campo sin dato,1,8705fb7bf1a96b0f2460dea89c51221ad904fce2bafc2b09d6027db4da4ce3cf,25/06/2023 21:12:25,ESCANER
21564,"Izabal",18,"El Estor",3,3346,263,49,0,31,0,11,1,0,0,0,1,0,0,2,14,0,109,6,0,115,0,115,--,263,148,109,115,115,Algún campo sin dato,1,34e157f1a55772c089eef458e7fe04d6048c7b4f107d8c48e447450952df5a97,25/06/2023 22:31:02,ESCANER
21565,"Izabal",18,"El Estor",3,3347,400,127,5,97,2,37,12,0,0,2,2,1,0,0,2,0,287,10,4,301,1,302,--,400,98,287,301,302,Algún campo sin dato,1,f43609f8155f5febb7be28c43c89be847e9d2008ee7bca7832c1372430de2143,26/06/2023 00:34:13,ESCANER
21566,"Izabal",18,"El Estor",3,3347,400,104,6,92,2,44,12,0,0,1,1,0,0,9,7,1,279,9,0,288,0,288,--,400,112,279,288,288,Algún campo sin dato,1,34586f3ea5a74fcb80c232f557518771afed35678c63c3cccb8e7a7c4419f088,26/06/2023 00:07:21,ESCANER
21567,"Izabal",18,"El Estor",3,3347,400,111,2,78,1,37,21,0,0,1,2,0,0,4,1,0,258,13,2,273,0,273,--,397,124,258,273,273,Algún campo sin dato,1,f8f05cf838b3a060a3a257ec5eac1abc44bef1f03ed63e2f272f2935cc30563f,25/06/2023 23:37:52,ESCANER
21568,"Izabal",18,"El Estor",3,3347,400,102,2,84,0,42,42,0,0,1,3,0,0,5,1,0,282,10,5,297,0,297,--,400,103,282,297,297,Algún campo sin dato,1,d3a74c40bda62ec9eccdb7da1ab3bd2a8e484f49f8c9a98b54dec56ab57fa25d,25/06/2023 23:21:45,ESCANER
21569,"Izabal",18,"El Estor",3,3347,400,94,4,79,3,47,34,2,0,0,1,0,0,12,2,0,278,16,2,296,0,296,--,400,104,278,296,296,Algún campo sin dato,1,37edf686601ec9b5228fb49a55ec9615d1ba987a5dcb33ffea1c0d2f514290e7,25/06/2023 23:14:05,ESCANER
21570,"Izabal",18,"El Estor",3,3347,400,112,3,82,0,42,19,--,--,1,2,--,--,6,1,1,269,9,0,278,0,278,--,399,121,269,278,278,Algún campo sin dato,1,45835be7a1eeec774f23589e9f9a9462c409a01c23b142843d996eb2bfa49fe9,25/06/2023 23:51:09,ESCANER
21571,"Izabal",18,"El Estor",3,3347,400,82,1,96,2,39,26,0,0,2,4,0,0,9,5,0,266,1,2,269,0,269,--,400,131,266,269,269,Algún campo sin dato,1,986dff646445bba3f525529bbf098650068fa6cf4524eb9fb73ef6e3e973a0f1,25/06/2023 22:41:12,ESCANER
21572,"Izabal",18,"El Estor",3,3347,228,77,3,58,0,10,6,0,0,0,0,0,0,1,0,0,155,2,0,157,0,157,--,228,71,155,157,157,Algún campo sin dato,1,be0e5810f1aaba0e6150846d1a178598810b3602add03c09a7159ed28a68928c,25/06/2023 21:09:26,ESCANER
21573,"Izabal",18,"El Estor",3,3347,227,55,0,41,0,14,16,0,0,0,1,0,0,5,2,0,134,9,0,143,0,143,--,227,84,134,143,143,Algún campo sin dato,1,cac19ca751991d50e8b3c2a6b851380a5c49f0319d49a1662c39d961b2669907,25/06/2023 22:08:41,ESCANER
21574,"Izabal",18,"El Estor",3,3348,380,101,10,134,2,21,2,1,1,0,9,0,0,0,4,0,285,4,1,290,0,290,--,380,90,285,290,290,Algún campo sin dato,1,2ba6b8eebea89225df8a11e87400ed71f592a449626ddf40a4a2971237cb2069,26/06/2023 00:22:26,ESCANER
21575,"Izabal",18,"El Estor",3,3348,380,127,8,122,0,25,4,0,1,1,3,0,0,0,0,0,291,4,1,296,0,296,--,378,82,291,296,296,Algún campo sin dato,1,dd718b77aec2ee5a2685e7067f26a25172cdb7cf45cf8bb46b30d0b5eb2f7b6b,26/06/2023 00:36:31,ESCANER
21576,"Izabal",18,"El Estor",3,3348,380,123,3,119,2,28,1,0,2,0,4,0,0,0,1,0,283,15,4,302,0,302,--,376,74,283,302,302,Algún campo sin dato,1,0705e2b08af5a0ec2b552df9632e517058fd701aa07e5d0133a1ecdc1fec4270,26/06/2023 00:06:18,ESCANER
21577,"Izabal",18,"El Estor",3,3348,380,128,3,119,0,18,1,0,1,0,10,0,0,0,3,0,283,1,0,284,2,286,--,380,94,283,284,286,Algún campo sin dato,1,6558224ee95016f262795646966009d2279034a5706c6bb4945763c9aa69da59,25/06/2023 23:41:47,ESCANER
21578,"Izabal",18,"El Estor",3,3348,241,63,0,83,1,22,1,0,1,0,0,0,0,0,3,0,174,2,0,176,0,176,1,241,65,174,176,176,,1,35b7abf65ba546a30500ac1ef33169555cc2c50d84b5ade2f2435d538b4950d3,25/06/2023 23:03:01,ESCANER
21579,"Izabal",18,"El Estor",3,3348,241,87,1,85,1,12,0,0,0,0,0,0,0,0,2,0,188,5,1,194,1,195,--,241,46,188,194,195,Algún campo sin dato,1,5a7a663bf479c4f70fc22a1d76344afb87d46ae3352c65e857688438d17bd1f5,25/06/2023 23:09:16,ESCANER
21580,"Izabal",18,"El Estor",3,3349,380,177,0,79,6,28,7,0,0,1,2,1,0,0,1,0,302,12,7,321,0,321,--,381,60,302,321,321,Algún campo sin dato,1,0752ea3047cc68545ffda3c216971051ba737ee347b193fcf144c9720b817ac4,26/06/2023 00:48:35,ESCANER
21581,"Izabal",18,"El Estor",3,3349,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,1ecf90ad967f87e08c8001d50a7f53c5dabac4a51f9bed2f1ac9c4430f97069c,26/06/2023 04:49:10,ESCANER
21582,"Izabal",18,"El Estor",3,3349,380,169,0,69,5,15,4,0,0,4,4,3,0,1,0,0,274,8,1,283,0,283,--,377,94,274,283,283,Algún campo sin dato,1,2d3e49b6db855cba68917ccd7233b9d568188cd733965d86c4b7a2b2761b32f6,26/06/2023 00:57:04,ESCANER
21583,"Izabal",18,"El Estor",3,3349,380,171,1,66,2,21,5,1,0,1,4,0,0,1,0,2,275,0,0,275,12,287,--,380,93,275,275,287,Algún campo sin dato,1,7dd1e9a9b652d8cdc19765a2035358eb7c431a6b0cae29ff154267779100849b,26/06/2023 01:27:30,ESCANER
21584,"Izabal",18,"El Estor",3,3349,380,179,0,77,5,13,5,0,0,5,0,0,0,1,1,0,286,16,0,302,0,302,--,380,78,286,302,302,Algún campo sin dato,1,237b01d0f81bb6d21403e543bff5d89cf648903bd1ccc36ddb7e22fa53b5f112,26/06/2023 01:54:00,ESCANER
21585,"Izabal",18,"El Estor",3,3349,380,178,0,83,2,18,4,0,0,5,2,0,1,0,1,0,294,3,4,301,0,301,--,380,79,294,301,301,Algún campo sin dato,1,dfa9526a2c1eaf07af1c84541718c3205f62a30881a4ed89787acf9626bbefe3,26/06/2023 00:30:59,ESCANER
21586,"Izabal",18,"El Estor",3,3349,380,173,1,69,1,16,5,1,0,6,2,1,0,1,2,0,278,15,0,293,0,293,--,380,86,278,293,293,Algún campo sin dato,1,347bb1230ce489db90c1d51e3f05c09e4d3d9724a5ab07c623620092c40698ed,26/06/2023 03:41:42,ESCANER
