TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
28 junio 2023 21:35 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
53,53,100.0000,53,100.0000,0,19669,12673,64.4313

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,UNE,VAMOS,VICTORIA,CABAL,TODOS,PR,BIEN,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
17980,"Quiché",14,"Chicamán",19,2744,335,61,88,1,10,7,1,1,1,170,5,2,177,0,177,--,335,155,170,177,177,Algún campo sin dato,1,17720a3cc3e0e9029909f725a0a2548a8fcf8bccca21e22ac1820a91e26f0ac0,25/06/2023 23:39:17,ESCANER
17981,"Quiché",14,"Chicamán",19,2745,372,42,125,1,22,0,6,0,2,198,15,0,213,0,213,--,372,159,198,213,213,Algún campo sin dato,1,e47155c454dbd0406b637a31161ffed57b4fe5df9e4a2e95ae5e22c17b6467bc,25/06/2023 21:38:15,ESCANER
17982,"Quiché",14,"Chicamán",19,2746,380,139,29,7,11,9,1,4,9,209,23,11,243,0,243,--,380,137,209,243,243,Algún campo sin dato,1,24fa841bf1aaf7d1870bdbe49286a642ea37d47bb65d9669e9d3baa213b0be9f,25/06/2023 23:45:27,ESCANER
17983,"Quiché",14,"Chicamán",19,2746,380,131,52,13,6,4,0,3,6,215,15,10,240,0,240,--,377,137,215,240,240,Algún campo sin dato,1,150f32958efab7309c8ecbeaf4b6472061449d4e9826b63ada8ea68add5c798b,25/06/2023 23:09:33,ESCANER
17984,"Quiché",14,"Chicamán",19,2746,303,113,30,8,4,2,1,3,4,165,14,5,184,0,184,--,303,119,165,184,184,Algún campo sin dato,1,720ed860d83d47f4fbfcad0c3832d2c911b4849c0eab520f3cf8feeadd268350,25/06/2023 23:30:08,ESCANER
17985,"Quiché",14,"Chicamán",19,2746,303,105,18,11,3,0,0,5,2,144,7,2,153,0,153,--,303,150,144,153,153,Algún campo sin dato,1,e8c172196b5921018ed4d2f5dd72a52d031a8cf83398c4fbaa1bcbbef7e07a34,25/06/2023 22:36:15,ESCANER
17986,"Quiché",14,"Chicamán",19,2747,380,58,69,0,53,5,0,4,4,193,34,7,234,0,234,--,380,146,193,234,234,Algún campo sin dato,1,67ded37c5d8eefe41c109addc4d945e1eaf34cd6cd3d49889406237e564910ea,25/06/2023 23:35:27,ESCANER
17987,"Quiché",14,"Chicamán",19,2747,380,54,88,0,29,3,4,0,0,178,14,2,194,0,194,--,380,186,178,194,194,Algún campo sin dato,1,870bfe0edf9c694721d183440a4c63cbbf45e1e46476707756916761abe618ef,25/06/2023 23:43:38,ESCANER
17988,"Quiché",14,"Chicamán",19,2747,252,44,58,0,19,3,0,1,4,129,10,1,140,0,140,--,252,112,129,140,140,Algún campo sin dato,1,39d74f23d922684d9db1b53f9a03fe0de1e375c4c79df85a3457eadf42989281,25/06/2023 23:46:08,ESCANER
17989,"Quiché",14,"Chicamán",19,2747,251,33,46,0,18,4,1,0,2,104,7,0,111,0,0,--,251,140,104,111,111,Algún campo sin dato,1,1eaa537574be20cc5933173e40b3d1d8e1013ced971f1c0a67d644968e2220d8,26/06/2023 00:26:16,ESCANER
17990,"Quiché",14,"Chicamán",19,2748,380,134,111,9,3,1,1,1,26,286,14,9,309,0,309,--,400,91,286,309,309,Algún campo sin dato,1,6a475d2cb658739544c28bea9328095fa9d570f2ef4f43a7d6a271dbf9484fbd,26/06/2023 07:14:06,ESCANER
17991,"Quiché",14,"Chicamán",19,2749,380,127,75,22,4,2,0,0,19,249,10,3,262,0,262,--,380,118,249,262,262,Algún campo sin dato,1,9caee3abf4f3328d4681e142a4c691ddaf90b18765874c93038937ad2a6b8336,26/06/2023 07:27:27,ESCANER
17992,"Quiché",14,"Chicamán",19,2749,292,116,57,5,2,5,0,2,16,203,5,3,211,0,211,--,292,81,203,211,211,Algún campo sin dato,1,a68d5a499d5f9c11c2e37182a2203526f71019390703723648921e9051fa6c19,26/06/2023 07:42:11,ESCANER
17993,"Quiché",14,"Chicamán",19,2749,292,93,73,15,4,1,0,0,25,211,3,2,216,0,216,--,292,76,211,216,216,Algún campo sin dato,1,1f0c2cd2bd6cac6f46154a6dbf805936684f7d03157d8e5b6e37540bb7504352,26/06/2023 07:51:58,ESCANER
17994,"Quiché",14,"Chicamán",19,2750,347,26,49,4,12,1,0,0,6,98,8,2,108,0,108,--,347,239,98,108,108,Algún campo sin dato,1,60a8b925b7940324ceef977816673ac0f7fb1d625848c800a41903984a89fe1c,25/06/2023 20:50:26,ESCANER
